Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.06461557745933533,0.032456036657094955,0.04853580705821514,0.15120293204206278,0.06358061194350031,8.204397871592683,0.7523481245204018,0.12382593773979911,0.7900328964821988,1.206608533859253
cup1,0.031882427632808685,0.008015152998268604,0.019948790315538645,0.061879896007745946,0.046809828678112515,12.08450424825612,0.8689514822719174,0.06552425886404128,0.7890620457056463,0.6098806858062744
cup2,0.041835106909275055,0.0031082385685294867,0.02247167273890227,0.0757597481036133,0.0707171457167165,11.205614780041577,0.7871681835201471,0.10641590823992647,0.7604619696530396,0.8016831874847412
dinosaur,0.09435844421386719,0.0340152308344841,0.06418683752417564,0.08915939635973004,0.03821625111956971,10.498328805072523,0.8771557337845514,0.06142213310772432,0.573108050546642,1.7512376308441162
panther,0.04772549122571945,0.03398619219660759,0.04085584171116352,0.0822389856800785,0.05156728420229487,10.849222548208495,0.8442009517542989,0.07789952412285056,0.7529816775709322,1.174065113067627
squirrel,0.07353140413761139,0.07603774964809418,0.07478457689285278,0.025700832884346103,0.039309573593480585,15.900528023023845,0.7602790375065969,0.11986048124670157,0.5123386628274103,1.5956330299377441
sun,0.04163018614053726,0.011091258376836777,0.02636072225868702,0.11462674273391747,0.03173755065552746,9.407140484519529,0.7490876556140299,0.12545617219298505,0.8161566894862317,3.450850248336792
teabag2,0.12724639475345612,0.03780456259846687,0.0825254786759615,0.04115250794012057,0.03089265989956705,13.856036926177921,0.7119957151044307,0.14400214244778464,0.5963434254790113,0.5927541255950928
deer,0.08102341741323471,0.04784587770700455,0.06443464756011963,0.01763101660322695,0.041628340363252976,17.537226455882035,0.8152407841009782,0.09237960794951089,0.7568134568134568,1.0802295207977295
frog1,0.08262629061937332,0.09300978481769562,0.08781803771853447,0.0234916229044649,0.034402455255570216,16.290869792161267,0.7507712353849312,0.12461438230753441,0.35088757396449705,1.2624785900115967
frog2,0.09477686136960983,0.046744562685489655,0.07076071202754974,0.03400232819110465,0.052743820198424086,14.684913451362068,0.851333676431623,0.07433316178418847,0.7319221375175783,0.5706233978271484
paper1,0.0242299921810627,0.014941321685910225,0.01958565693348646,0.05621243854028252,0.02872010057452642,12.501675742584379,0.8289227345486834,0.08553863272565831,0.6051913229165947,2.8912642002105713
paper2,0.027065176516771317,0.011341583915054798,0.019203380215913057,0.06514857907395999,0.03680352253910576,11.860950520476049,0.8136095889064427,0.09319520554677863,0.5573980158271975,2.43047833442688
raccoon,0.06459207087755203,0.056267958134412766,0.0604300145059824,0.11859786715923468,0.03743229674782128,9.259231211682497,0.8066888226721539,0.09665558866392304,0.6333813383347846,1.2148008346557617
teabag1,0.03673180192708969,0.02471190318465233,0.03072185255587101,0.008696275447521181,0.015092996668185319,20.60666712775952,0.9294666967473937,0.03526665162630316,0.44833481276917514,0.5964787006378174
turtle,0.04567592218518257,0.0906950905919075,0.06818550638854504,0.010594243340656517,0.058100939603347515,19.749300559151813,0.776079837744944,0.11196008112752798,0.6309023166592888,0.8922207355499268
Average,0.061221660347655416,0.038879531537531875,0.050050595942593645,0.061005963313254134,0.042359711109937664,13.40603803424702,0.8077062662883453,0.09614686685582738,0.6440822745346053,1.382580429315567
