Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.06038360670208931,0.03447355329990387,0.04742858000099659,0.13030570969240876,0.07072518643196694,8.850365540987843,0.7133918120626429,0.14330409396867855,0.7918766912505969,1.20955228805542
cup1,0.032970309257507324,0.008195721544325352,0.020583015400916338,0.056964385168447464,0.04835615314644125,12.443965857133037,0.8704608573736412,0.0647695713131794,0.7831307786241787,0.6087634563446045
cup2,0.04196513444185257,0.0031470991671085358,0.022556116804480553,0.07486020258936421,0.07299838039266802,11.25749001916709,0.7874799451917079,0.10626002740414603,0.7611143326568087,0.6856553554534912
dinosaur,0.0928107351064682,0.03318871185183525,0.06299972347915173,0.07867787801100395,0.03789951630186715,11.041473617742966,0.8911995730017693,0.054400213499115335,0.6373988357234133,1.3601162433624268
panther,0.04816695302724838,0.03440356254577637,0.041285257786512375,0.08254045365377687,0.05312488866036452,10.833331485093593,0.8431322399648471,0.07843388001757645,0.7559511184350067,1.0369515419006348
squirrel,0.0759483054280281,0.07613668590784073,0.07604249566793442,0.024363542315790847,0.03956435679943095,16.132595675844023,0.7415145315696283,0.12924273421518584,0.36358010658988155,1.2742350101470947
sun,0.041719406843185425,0.011168771423399448,0.026444089133292437,0.11133523071801188,0.0325214157826349,9.533673865607234,0.7596175972478256,0.12019120137608719,0.7900800507425472,2.8865954875946045
teabag2,0.12454964965581894,0.03795816749334335,0.08125390857458115,0.04073413507751474,0.031016382417478873,13.90041500785781,0.7126228142824256,0.1436885928587872,0.5783530788357467,0.5425713062286377
deer,0.08054644614458084,0.04833357036113739,0.06444000825285912,0.017610934292707166,0.04215948358517911,17.542176032942844,0.8147843398323336,0.09260783008383322,0.7551691551691552,0.8516297340393066
frog1,0.055456411093473434,0.10219919681549072,0.07882780395448208,0.044164845258686636,0.03738734785560905,13.549232868712785,0.7358620810583737,0.13206895947081315,0.41606878698224853,0.8992586135864258
frog2,0.10243546217679977,0.04876746982336044,0.07560146600008011,0.035387475601553836,0.055888901158269506,14.511504170578316,0.8508094644529776,0.07459526777351122,0.7192287765524388,0.48580288887023926
paper1,0.024535736069083214,0.014990790747106075,0.019763263408094645,0.0566822805999128,0.02887830840221891,12.465526843238013,0.8286135488830253,0.08569322555848735,0.6051291265557729,2.3214735984802246
paper2,0.025707338005304337,0.011390895582735538,0.018549116794019938,0.041153946923370724,0.037124880934805954,13.855885068711531,0.8169733782981722,0.09151331085091391,0.7496602747999396,1.774625301361084
raccoon,0.06428851187229156,0.055668409913778305,0.059978460893034935,0.116943246746646,0.03737568968937067,9.320248528231879,0.8072099092944565,0.09639504535277177,0.6404313751758323,0.9858224391937256
teabag1,0.03893524408340454,0.02361639402806759,0.031275819055736065,0.009292915966435313,0.014801734945818434,20.318479900509814,0.9269883252239508,0.0365058373880246,0.49465759279350363,0.4826540946960449
turtle,0.05033453553915024,0.09125135838985443,0.07079294696450233,0.011350063997072949,0.058689238481817466,19.45001689704578,0.7722539253155764,0.11387303734221182,0.630920761398849,0.8946123123168945
Average,0.06004711159039289,0.03968064743094146,0.049863879510667175,0.05827295291329401,0.04365699156162135,13.437898836212785,0.8045571464408345,0.09772142677958269,0.6545469276428699,1.1437699794769287
