Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.06269356608390808,0.038326580077409744,0.05051007308065891,0.1264096253677629,0.08731048979111262,8.982198557613009,0.700178913233207,0.1499105433833965,0.7904573672202473,1.2462198734283447
cup1,0.034436337649822235,0.008416315540671349,0.021426326595246792,0.057637119413704,0.05017740149776195,12.392977324727996,0.869704364409964,0.06514781779501799,0.7824039076583125,0.6130623817443848
cup2,0.0411742702126503,0.003271485213190317,0.022222877712920308,0.08028875672617222,0.07850140140673027,10.953452670956029,0.783998501861637,0.1080007490691815,0.785203440610805,0.6861348152160645
dinosaur,0.08759000152349472,0.031120384112000465,0.05935519281774759,0.0726601803791373,0.03447154184348958,11.387035283344831,0.8950985274964273,0.05245073625178637,0.6386625017748119,1.3683528900146484
panther,0.05109687149524689,0.035856835544109344,0.043476853519678116,0.08852461023880787,0.06084085484848624,10.529359767021038,0.8455862531372531,0.07720687343137345,0.7383955229968511,1.0186896324157715
squirrel,0.07798416167497635,0.08249969780445099,0.08024192973971367,0.02243113483600073,0.04312276608010011,16.491487540342607,0.7353371329792296,0.13233143351038518,0.2955848551438458,1.2768733501434326
sun,0.04207124188542366,0.011367695406079292,0.026719468645751476,0.10692796815911537,0.033291099024966825,9.709086855440628,0.7672410937460488,0.11637945312697562,0.7895715316812844,2.8838307857513428
teabag2,0.13499867916107178,0.03916103020310402,0.0870798546820879,0.042019033740767396,0.03174748432424356,13.765539387429591,0.7092247342742711,0.14538763286286444,0.6376480912681001,0.5522446632385254
deer,0.07854785025119781,0.05210435017943382,0.06532610021531582,0.01760103452015441,0.044442725915271646,17.544618053000224,0.8219351877169685,0.08903240614151575,0.7982800982800983,0.8860716819763184
frog1,0.08513493090867996,0.10332116484642029,0.09422804787755013,0.02214651318445431,0.03703767665837304,16.546946407254744,0.7530608171383778,0.1234695914308111,0.3696190828402367,0.9151206016540527
frog2,0.17376698553562164,0.0524626262485981,0.11311480589210987,0.046830270684366467,0.06269117485317667,13.294733319384635,0.8440414144201318,0.0779792927899341,0.6215306046924728,0.4980287551879883
paper1,0.026021666824817657,0.015630420297384262,0.02082604356110096,0.054604520073891875,0.030847487309130246,12.627714056121489,0.8271190828150697,0.08644045859246513,0.6293857072762832,3.1684794425964355
paper2,0.029819153249263763,0.01192367821931839,0.020871415734291077,0.08456398541805721,0.04131214705253144,10.728145573434498,0.8045771946523085,0.09771140267384576,0.522288637635335,2.335878849029541
raccoon,0.07069982588291168,0.06200713664293289,0.06635348126292229,0.12524527252243917,0.04128470612067258,9.022386579251139,0.8049368000576788,0.09753159997116062,0.6420892223189765,1.174938678741455
teabag1,0.08308711647987366,0.01953953504562378,0.05131332576274872,0.017074370335189184,0.01406423566966757,17.67655303165904,0.8209679588551967,0.08951602057240166,0.6272807969227735,0.6694731712341309
turtle,0.05276017636060715,0.09898514300584793,0.07587265968322754,0.011726855666694954,0.06850393106629954,19.308184200807744,0.7696739458425099,0.11516302707874504,0.6451232108602627,1.175248622894287
Average,0.07074267719872296,0.041624629899160936,0.05618365354894195,0.06104320320416971,0.04747794521637587,13.185026162986826,0.7970426201647676,0.10147868991761627,0.6445952861987936,1.2792905122041702
