Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.07298136502504349,0.038095623254776,0.055538494139909744,0.1590169459790489,0.08562169285581273,7.985565916981985,0.7179854810274561,0.14100725948627196,0.8018517535947366,1.2277350425720215
cup1,0.034478019922971725,0.008398736827075481,0.021438378375023603,0.05801960792431629,0.049700339429529374,12.364252103296533,0.8693999831475914,0.06530000842620431,0.7848461941036228,0.609760046005249
cup2,0.040598198771476746,0.0032648041378706694,0.021931501454673707,0.08530167012425252,0.07811398196278539,10.690424656830475,0.7820660644160341,0.10896696779198295,0.7755388035179279,0.6880252361297607
dinosaur,0.08659496158361435,0.03111487813293934,0.058854919858276844,0.07774587663703565,0.034493084864413465,11.093226351148747,0.8842016249380203,0.057899187530989826,0.6304415731932416,1.365926742553711
panther,0.05109776183962822,0.035817768424749374,0.0434577651321888,0.08857903143892568,0.06085658485753147,10.526690727872015,0.8457018174191305,0.07714909129043473,0.7377102674128339,0.9991419315338135
squirrel,0.0753931924700737,0.08226646482944489,0.07882982864975929,0.023728149297758676,0.04278538088245288,16.247361337217633,0.7361577470729862,0.1319211264635069,0.33351014119370564,1.2232182025909424
sun,0.042561013251543045,0.01136765256524086,0.026964332908391953,0.09924228003403161,0.03329738398689567,10.033032666204685,0.7848492848959582,0.10757535755202091,0.7608429386933794,2.797183036804199
teabag2,0.05389852076768875,0.039134591817855835,0.04651655629277229,0.019704499348859664,0.03171753453559789,17.05434595195222,0.7859928911622159,0.10700355441889203,0.3548924967090829,0.5249638557434082
deer,0.06937562674283981,0.05221646651625633,0.06079604662954807,0.014332105688167762,0.04493489308892624,18.436899979090235,0.8231047564616056,0.08844762176919718,0.4147042147042147,0.8432011604309082
frog1,0.053307779133319855,0.10367125272750854,0.0784895159304142,0.04432483598087685,0.037438592592257985,13.533528627824738,0.7409670114217581,0.12951649428912093,0.4309541420118343,0.8636305332183838
frog2,0.11757421493530273,0.05248204991221428,0.0850281324237585,0.038048693751901765,0.0627479007825453,14.196602483829974,0.8484246309394499,0.07578768453027507,0.724742802161202,0.48056459426879883
paper1,0.026211323216557503,0.015629705041646957,0.02092051412910223,0.05654415756478938,0.030847031619495802,12.476122619755508,0.8270381214324278,0.08648093928378608,0.6185773619068022,2.3062291145324707
paper2,0.030488254502415657,0.011922118254005909,0.021205186378210783,0.10434515703187315,0.04130569402697492,9.815277030253826,0.7870432625487195,0.10647836872564026,0.4891065893366255,1.769120693206787
raccoon,0.0675908699631691,0.06200723722577095,0.06479905359447002,0.11863360749714698,0.041304619903062986,9.257922630544469,0.8066239928921137,0.09668800355394314,0.655971598901467,0.976344108581543
teabag1,0.04052239656448364,0.019597655162215233,0.030060025863349438,0.00975429383578413,0.014116800043471366,20.10804165974558,0.9271701935411544,0.03641490322942281,0.5260873853437222,0.4906339645385742
turtle,0.051404889672994614,0.09887193143367767,0.07513841055333614,0.01150845235151667,0.06841248748844378,19.389830760564237,0.7707192645607109,0.11464036771964453,0.6476870296591413,0.8785209655761719
Average,0.057129899272695184,0.04161618351645302,0.0493730413945741,0.06305183528039285,0.04735587518251233,13.325570343944554,0.8085903829923333,0.09570480850383335,0.6054665807777212,1.1277624517679214
