Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.06182057783007622,0.02937908098101616,0.04559982940554619,0.1549055959798618,0.047064845733041136,8.099328930266118,0.7903577422914185,0.10482112885429073,0.6938106860508304,1.3796308040618896
cup1,0.03117109276354313,0.007776361424475908,0.01947372709400952,0.054737935339279474,0.04437571555205308,12.617115877747896,0.8729846048369851,0.06350769758150743,0.7850497179740652,0.713580846786499
cup2,0.043663498014211655,0.0031694702338427305,0.023416484124027193,0.07642973442142921,0.06338953754936888,11.167376495018793,0.7858454275609967,0.10707728621950163,0.7592055668309655,0.7633159160614014
dinosaur,0.1073477640748024,0.04784657433629036,0.07759716920554638,0.10043281201654086,0.0492221862105745,9.981243773336656,0.8730866911297056,0.0634566544351472,0.5653698707936958,1.533463478088379
panther,0.045063018798828125,0.03270368278026581,0.03888335078954697,0.07792057516274045,0.045883859218114886,11.08347850417397,0.8424242264456778,0.07878788677716109,0.7581863568876344,1.1531682014465332
squirrel,0.07327709347009659,0.06844309717416763,0.07086009532213211,0.025535202447336824,0.03907735918074593,15.92860694635826,0.7572809207574605,0.12135953962126977,0.48463034528049304,1.4217793941497803
sun,0.042739659547805786,0.011521680280566216,0.027130669914186,0.11568202625205261,0.031691336339435765,9.367341130096193,0.7355786736809897,0.13221066315950514,0.8373067080772512,3.22593092918396
teabag2,0.10317686200141907,0.03512171283364296,0.06914928741753101,0.03907976018965347,0.030889352571163597,14.080481099642611,0.7252326037993926,0.1373836981003037,0.496094778411584,0.5918066501617432
deer,0.08707515895366669,0.04780556261539459,0.06744036078453064,0.01798977804351777,0.04065476895804102,17.449741949129315,0.8193672591276174,0.09031637043619128,0.7730296730296731,0.9274487495422363
frog1,0.08128449320793152,0.08879163861274719,0.08503806591033936,0.027870138911619245,0.03563249889623093,15.548608666509097,0.74259155929707,0.128704220351465,0.3334689349112426,0.9558694362640381
frog2,0.109885074198246,0.04084952175617218,0.07536729797720909,0.03652749246280995,0.04523232511483301,14.373801401872917,0.8526089508041729,0.07369552459791356,0.659055584338687,0.5280027389526367
paper1,0.021507257595658302,0.01429791934788227,0.017902588471770287,0.050942459022585374,0.026979897377195503,12.929200952152728,0.8325735410037902,0.08371322949810489,0.6117288515096438,2.5698373317718506
paper2,0.02436039224267006,0.010999775491654873,0.017680083867162466,0.05796855957549154,0.0350438104437373,12.368074910073158,0.8172698121120817,0.09136509394395914,0.5623540069810198,1.9241819381713867
raccoon,0.0614764504134655,0.050759535282850266,0.05611799284815788,0.120078160450007,0.03562696321408299,9.205359739337615,0.8031569000055544,0.0984215499972228,0.6067050706678278,1.0747241973876953
teabag1,0.04624687880277634,0.04715041443705559,0.04669864661991596,0.010541066010951302,0.022428766344428204,19.771154669922144,0.9083311528833266,0.04583442355833672,0.4649044941973239,0.5249831676483154
turtle,0.05515419691801071,0.07916808128356934,0.06716113910079002,0.011930964878720828,0.04728971590259775,19.23324432728704,0.7737285532381223,0.11313572338093886,0.592555703113472,0.9693694114685059
Average,0.062203091802075505,0.03848650680447463,0.05034479930327507,0.06116076632278735,0.040030183662852784,13.325259960807783,0.8082761636858977,0.0958619181570512,0.6239660218159631,1.2660683244466782
