Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.04203590750694275,0.026118071749806404,0.03407698962837458,0.0761714444006207,0.04095938501800173,11.182078090216654,0.7594383422109939,0.12028082889450303,0.745675704356131,1.2749643325805664
cup1,0.03237982466816902,0.007578529883176088,0.019979177275672555,0.056778435970872766,0.04424104260343,12.458165748002068,0.8706403333393408,0.06467983333032962,0.784003023783218,0.6360383033752441
cup2,0.040948450565338135,0.0031248582527041435,0.02203665440902114,0.08293204164910385,0.07127166274283164,10.812776428773503,0.7839420252250097,0.10802898738749517,0.7668406301343385,0.7316632270812988
dinosaur,0.09612379223108292,0.038899555802345276,0.0675116740167141,0.08376219436016713,0.04185363597568758,10.769519537500749,0.8876072586617537,0.05619637066912314,0.6324293624875763,1.4247426986694336
panther,0.046467579901218414,0.03245612233877182,0.03946185111999512,0.08793014814365832,0.0467109701359887,10.558621951471547,0.8529190580138266,0.07354047099308669,0.6780930316033349,1.0848205089569092
squirrel,0.07745368033647537,0.07198590040206909,0.07471979036927223,0.023426520582105356,0.03663836852114892,16.302922100886367,0.74428753184865,0.12785623407567498,0.302038342047435,1.357391595840454
sun,0.03475255146622658,0.011180708184838295,0.022966629825532436,0.08019798299559926,0.03180181905111861,10.958365542207822,0.8251431745962684,0.0874284127018658,0.6693095076660616,3.084211587905884
teabag2,0.11439616233110428,0.036354318261146545,0.07537524029612541,0.039396649174416765,0.029524996530640894,14.045407148989375,0.7174815719220584,0.1412592140389708,0.516220564575106,0.5716476440429688
deer,0.08489960432052612,0.04703950881958008,0.0659695565700531,0.017800152810799115,0.040570587331827244,17.495762693426812,0.816899198344615,0.0915504008276925,0.7637119637119637,0.9007081985473633
frog1,0.0571766197681427,0.09512355923652649,0.0761500895023346,0.04373551354870242,0.03532071205750624,13.591657695602787,0.7324991084359935,0.13375044578200324,0.4125369822485207,0.9313704967498779
frog2,0.10458162426948547,0.04302041605114937,0.07380102016031742,0.03577076460362125,0.04820916315955153,14.46471776664433,0.852067180579693,0.0739664097101535,0.6944711716379246,0.5152158737182617
paper1,0.022547651082277298,0.014409620314836502,0.0184786356985569,0.052509174339628734,0.026593191006920893,12.797648105562553,0.8346042278741721,0.08269788606291395,0.6124061007719259,2.448253870010376
paper2,0.02555902674794197,0.010812854394316673,0.018185940571129322,0.05577845478289121,0.032259651329312224,12.535335210588357,0.8179785934774232,0.0910107032612884,0.5789183860166444,1.8879759311676025
raccoon,0.05955153703689575,0.05253477022051811,0.05604315362870693,0.11181112954554757,0.035366438774685004,9.515149651468315,0.8077508076337803,0.09612459618310987,0.6299819143948021,1.03997802734375
teabag1,0.030659670010209084,0.0383446142077446,0.03450214210897684,0.007494848395627443,0.018380960158566276,21.252371475533053,0.932023524450921,0.03398823777453952,0.40138738205608704,0.5131537914276123
turtle,0.04312392696738243,0.08322981745004654,0.06317687220871449,0.01021926960757572,0.05020826963302505,19.905801430207664,0.7798231301752115,0.11008843491239423,0.6259775711966947,0.9269497394561768
Average,0.057041100575588644,0.0382633265980985,0.04765221358684357,0.0541071703069336,0.039369428376890156,13.665393786067622,0.813444066674357,0.09327796666282154,0.6133751024179852,1.2080678641796112
