Object,Scale,AUC_Magnitude,AUC_Chroma,Additivity_Error,Decay_Mean_R,Decay_Mean_S,Decay_Median_R,Decay_Median_S,Oracle_Refl_LMSE,Oracle_Shading_LMSE,Oracle_Combined_LMSE
box,0,0.5780055116460645,0.6198924609819538,0.33998494437174337,16.25727728482401,25728.665711552945,1.1639949477079887,1.497399538302016,0.017270108684897423,0.01469034980982542,0.01598022924736142
box,1,0.5794757250317906,0.6090662151463994,0.17331352388691776,22.703035883501624,19.1758916422213,1.5543297591258707,2.18416342725154,0.017270108684897423,0.01469034980982542,0.01598022924736142
box,2,0.5296736838451868,0.5935747211893355,0.13885172426638628,,,,,0.017270108684897423,0.01469034980982542,0.01598022924736142
cup1,0,0.4921735789108743,0.44075138788387097,0.2740918216885857,8.29036847495205,10.391140605123246,0.8032395037446234,0.6499388288572693,0.014160108752548695,0.011068694293498993,0.012614401523023844
cup1,1,0.44878280604945875,0.43358717206589187,0.1491664166995699,17.158671063432593,13.876779250904518,1.4427193448496543,1.9880340464235742,0.014160108752548695,0.011068694293498993,0.012614401523023844
cup1,2,0.44242098272110386,0.4591511165192266,0.09728099740944532,,,,,0.014160108752548695,0.011068694293498993,0.012614401523023844
cup2,0,0.6334378630742697,0.5313095433509534,0.25654509958385424,11.291984021390215,6.309586186420649,1.081368414339897,0.6405190634680553,0.02433369681239128,0.017895318567752838,0.02111450769007206
cup2,1,0.6538145880542623,0.5031531722841259,0.12453236545418943,12.867388644351403,58.140732290415386,1.2386796169616439,1.8740006880848026,0.02433369681239128,0.017895318567752838,0.02111450769007206
cup2,2,0.613765300697295,0.4422540734285297,0.11776327455502725,,,,,0.02433369681239128,0.017895318567752838,0.02111450769007206
dinosaur,0,0.5632965906589689,0.5596903331130151,0.24784087061101684,18.942520808332272,8.621051655493533,1.2745134931237667,1.4514757078957399,0.06584618240594864,0.14141657948493958,0.10363138094544411
dinosaur,1,0.6573573142149323,0.4944447020838357,0.14780605706773448,43.25822504359641,33.27852551993039,2.4942636528188773,1.5997563964845027,0.06584618240594864,0.14141657948493958,0.10363138094544411
