Object,Scale,AUC_Magnitude,AUC_Chroma,Additivity_Error,Decay_Mean_R,Decay_Mean_S,Decay_Median_R,Decay_Median_S,Oracle_Refl_LMSE,Oracle_Shading_LMSE,Oracle_Combined_LMSE
box,0,0.5780055116460645,0.6198924609819538,0.33998494437174337,16.25727728482401,25728.665711552945,1.1639949477079887,1.497399538302016,0.011041705496609211,0.006330809555947781,0.008686257526278496
box,1,0.5794757250317906,0.6090662151463994,0.17331352388691776,22.703035883501624,19.1758916422213,1.5543297591258707,2.18416342725154,0.011041705496609211,0.006330809555947781,0.008686257526278496
box,2,0.5296736838451868,0.5935747211893355,0.13885172426638628,13.74986516605603,29.78249918329235,1.3685483003466463,2.0093887767957197,0.011041705496609211,0.006330809555947781,0.008686257526278496
box,3,0.42238859656524325,0.5804241071737329,0.1136339076397277,,,,,0.011041705496609211,0.006330809555947781,0.008686257526278496
cup1,0,0.4921735789108743,0.44075138788387097,0.2740918216885857,8.29036847495205,10.391140605123246,0.8032395037446234,0.6499388288572693,0.010555604472756386,0.007014065515249968,0.008784834994003177
cup1,1,0.44878280604945875,0.43358717206589187,0.1491664166995699,17.158671063432593,13.876779250904518,1.4427193448496543,1.9880340464235742,0.010555604472756386,0.007014065515249968,0.008784834994003177
cup1,2,0.44242098272110386,0.4591511165192266,0.09728099740944532,18.007291867996848,22.17627061548663,1.9291939895416994,4.034878910540473,0.010555604472756386,0.007014065515249968,0.008784834994003177
cup1,3,0.448423390777967,0.5139515614179025,0.08804937045392425,,,,,0.010555604472756386,0.007014065515249968,0.008784834994003177
cup2,0,0.6334378630742697,0.5313095433509534,0.25654509958385424,11.291984021390215,6.309586186420649,1.081368414339897,0.6405190634680553,0.01804104819893837,0.010913025587797165,0.014477036893367767
cup2,1,0.6538145880542623,0.5031531722841259,0.12453236545418943,12.867388644351403,58.140732290415386,1.2386796169616439,1.8740006880848026,0.01804104819893837,0.010913025587797165,0.014477036893367767
cup2,2,0.613765300697295,0.4422540734285297,0.11776327455502725,15.511981905032288,22.742511355470153,1.2675980784928877,3.7566535087457105,0.01804104819893837,0.010913025587797165,0.014477036893367767
cup2,3,0.49122059318139977,0.42147772176045784,0.13927357255978953,,,,,0.01804104819893837,0.010913025587797165,0.014477036893367767
dinosaur,0,0.5632965906589689,0.5596903331130151,0.24784087061101684,18.942520808332272,8.621051655493533,1.2745134931237667,1.4514757078957399,0.04856813699007034,0.0717039704322815,0.06013605371117592
dinosaur,1,0.6573573142149323,0.4944447020838357,0.14780605706773448,43.25822504359641,33.27852551993039,2.4942636528188773,1.5997563964845027,0.04856813699007034,0.0717039704322815,0.06013605371117592
dinosaur,2,0.6812427002739759,0.4223164647796558,0.10142632046456175,27.455512328373487,9.600242738936071,2.2919722043288804,1.7788971355191538,0.04856813699007034,0.0717039704322815,0.06013605371117592
dinosaur,3,0.6218746720669831,0.36421627001658236,0.07428193617122497,,,,,0.04856813699007034,0.0717039704322815,0.06013605371117592
panther,0,0.5505593463733349,0.6123581757039671,0.09916551476832929,14.240306785306512,8.1685620598212,0.7865806276313863,1.2981788059396873,0.004415936302393675,0.004993304144591093,0.004704620223492384
panther,1,0.6513767387998984,0.629826669164468,0.03930339474099813,32.97860154722562,12.382947278324886,1.5570139761391237,2.3777152452037327,0.004415936302393675,0.004993304144591093,0.004704620223492384
panther,2,0.568155135514651,0.5876631017219874,0.025283639939393247,25.18929679182453,8.705745851475532,1.4644006782059142,1.99223177836482,0.004415936302393675,0.004993304144591093,0.004704620223492384
panther,3,0.3643776554330936,0.5807283953984428,0.01947090429284404,,,,,0.004415936302393675,0.004993304144591093,0.004704620223492384
squirrel,0,0.4942313751886012,0.4751968385177103,0.49733357677281187,6.162442608358392,16.70396979178077,0.6454142476373388,0.6371005903951625,0.05740082636475563,0.04335246607661247,0.05037664622068405
squirrel,1,0.4858102429596947,0.4567707287596372,0.3514907291326505,6.32565753817319,5.510401717338776,0.9659166311242589,1.0972843491301774,0.05740082636475563,0.04335246607661247,0.05037664622068405
squirrel,2,0.44253057925968103,0.43093521387869915,0.23027195159155575,10.101813566887735,15.452749522429944,1.2149084099886243,1.4062426942800372,0.05740082636475563,0.04335246607661247,0.05037664622068405
squirrel,3,0.43181989833013684,0.415123977219176,0.17759683656302835,,,,,0.05740082636475563,0.04335246607661247,0.05037664622068405
sun,0,0.6247571100989129,0.6853747343344453,0.21114665195101212,11.486620802294746,10.809425704787717,0.9090663017555203,1.129110463731323,0.01460958831012249,0.014692575670778751,0.01465108199045062
sun,1,0.6926381014446658,0.71596405539984,0.11359944560439407,29.37535136554743,26.208640012242842,1.7465732812687382,2.522193672798365,0.01460958831012249,0.014692575670778751,0.01465108199045062
sun,2,0.6613874776845684,0.6367525832848941,0.09228422497157551,73.58215310338234,17.362795659405705,2.270885891839246,2.2088659437505367,0.01460958831012249,0.014692575670778751,0.01465108199045062
sun,3,0.5477878347863422,0.533172852508114,0.07144317271049581,,,,,0.01460958831012249,0.014692575670778751,0.01465108199045062
teabag2,0,0.5511741294395277,0.6012366639105245,0.1600385415675192,22.535356597193818,8.729908939902408,1.2134373068474407,1.5825484115433182,0.03036799095571041,0.024897290393710136,0.027632640674710274
teabag2,1,0.6381605801994664,0.5562294981113489,0.12114408192871305,13.202926949918204,9.98737468699366,1.3996645381392585,2.0288639161842266,0.03036799095571041,0.024897290393710136,0.027632640674710274
teabag2,2,0.5759751905000066,0.48212690420088833,0.13068878827140556,8.698170568058243,10.157421198015568,1.466709721029319,1.6413257740598712,0.03036799095571041,0.024897290393710136,0.027632640674710274
teabag2,3,0.5561204062606663,0.4262244359618186,0.11036718082809033,,,,,0.03036799095571041,0.024897290393710136,0.027632640674710274
deer,0,0.504641514125504,0.4791265136432973,0.4798247827661515,6.25715936043238,7.446080438495625,0.8823086121417403,0.7559788653811226,0.046027690172195435,0.0339924618601799,0.04001007601618767
deer,1,0.5030182264374318,0.4612852003361253,0.25481874343742106,13.864235917093474,7.789236652172389,1.3243134557096905,1.512480026287698,0.046027690172195435,0.0339924618601799,0.04001007601618767
deer,2,0.48173852952806295,0.4163237886165202,0.17372441083586684,7.579960028570916,18.580458263955613,1.4064866088568901,1.5982826425996373,0.046027690172195435,0.0339924618601799,0.04001007601618767
deer,3,0.517985569283895,0.3681733035638178,0.12784826856835313,,,,,0.046027690172195435,0.0339924618601799,0.04001007601618767
frog1,0,0.35092055225352525,0.45808362281381493,0.2675400506011205,4400915.714724555,6.05415687563646,0.7065204583687741,0.7897014445103432,0.03943798691034317,0.030908413231372833,0.035173200070858
frog1,1,0.3839781945599198,0.4375104672521604,0.20765315434005932,7.17494697434301,6.763888728890054,1.117042500022893,1.214668561986804,0.03943798691034317,0.030908413231372833,0.035173200070858
frog1,2,0.36920832676683646,0.4208729174965531,0.1712719498180634,11.731455216276004,9.005598321912792,1.4128187231308051,1.5272530121618162,0.03943798691034317,0.030908413231372833,0.035173200070858
frog1,3,0.38168496489802356,0.4040365171737591,0.14489697764537765,,,,,0.03943798691034317,0.030908413231372833,0.035173200070858
frog2,0,0.4044250903054172,0.4649967444164342,0.3375412452484512,14.454403349021916,8.241284332546691,1.0680714509306464,1.4038212895346378,0.02012718841433525,0.01678977534174919,0.01845848187804222
frog2,1,0.4065532659641261,0.46268934515938664,0.19915934858422357,12.541421157505361,15.138665133115676,1.505467900330176,1.6297321112717715,0.02012718841433525,0.01678977534174919,0.01845848187804222
frog2,2,0.36845349782324227,0.4543434965358727,0.13694382755671208,7.221797656918002,11.848513769079814,1.4644566073271874,1.723382658184144,0.02012718841433525,0.01678977534174919,0.01845848187804222
