Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.07861443608999252,0.030703913420438766,0.054659174755215645,0.1283707261724346,0.01798757092734006,8.91534002055817,0.7654284462188145,0.11728577689059277,0.20544383721547196,0.01636219024658203
cup1,0.02513495832681656,0.011858588084578514,0.018496773205697536,0.026066515621365645,0.007482284791678781,15.839170182198199,0.9156579215829672,0.04217103920851639,0.2850787928126999,0.011177539825439453
cup2,0.015111405402421951,0.007398092187941074,0.011254748795181513,0.042153514501863464,0.02535167504960677,13.751662107157227,0.904380440876301,0.04780977956184951,0.1938001353049193,0.009002685546875
dinosaur,0.1129472553730011,0.04735824838280678,0.08015275187790394,0.10112243678341971,0.04009380782004295,9.951524735865934,0.8944094160793091,0.052795291960345436,0.18272043163424678,0.027032136917114258
panther,0.06297741830348969,0.02835601568222046,0.04566671699285507,0.07499137535231519,0.015742933652320486,11.249886813053626,0.8110177462272701,0.09449112688636496,0.23417793803331646,0.013335943222045898
squirrel,0.12394245713949203,0.08007968217134476,0.1020110696554184,0.020685161476783707,0.0628418499074916,16.843410844758708,0.7692718901480159,0.11536405492599205,0.03724331287413806,0.015238523483276367
sun,0.02798454649746418,0.012696032412350178,0.02034028945490718,0.0766312786554592,0.03290876630217105,11.155939278247931,0.7825317724058397,0.10873411379708015,0.3280713457710899,0.028224945068359375
teabag2,0.03667011111974716,0.0391472689807415,0.03790869005024433,0.02151724310564301,0.06001681452939886,16.672133733729986,0.8327634321616939,0.08361828391915305,0.08667544244551705,0.006360530853271484
deer,0.07470010966062546,0.051486238837242126,0.06309317424893379,0.011179168533904863,0.03786095759972713,19.515904965001656,0.8576721337641856,0.0711639331179072,0.05358155358155358,0.010874509811401367
frog1,0.12840037047863007,0.09527093917131424,0.11183565482497215,0.049668983594905694,0.04526573497162768,13.039147271326268,0.7594688767504022,0.1202655616247989,0.04541420118343195,0.012212276458740234
frog2,0.1793854534626007,0.041254088282585144,0.11031977087259293,0.042548072266636906,0.025416862302013173,13.711201117939071,0.853300098397855,0.07334995080107248,0.11901413662941307,0.008115530014038086
paper1,0.0245505403727293,0.01121082715690136,0.01788068376481533,0.030877608062937534,0.0036570254670072063,15.103563496997022,0.7509838193109399,0.12450809034453003,0.10455208254148152,0.024254322052001953
paper2,0.026816220954060555,0.009220297448337078,0.018018259201198816,0.03656184480081667,0.003667644177473666,14.36971899190892,0.7769139709343575,0.11154301453282123,0.11320620653515823,0.01855611801147461
raccoon,0.08657880872488022,0.043598782271146774,0.0650887954980135,0.1193439474188241,0.010136102143243645,9.231996015358208,0.7467744770992014,0.1266127614503993,0.09913590997387635,0.013844013214111328
teabag1,0.03923315927386284,0.03179610148072243,0.03551463037729263,0.03137468492960865,0.035906767513592314,15.034206267545525,0.8862938026113956,0.05685309869430222,0.11519873754808166,0.005822181701660156
turtle,0.14433975517749786,0.09044793248176575,0.1173938438296318,0.03537031435167893,0.04297109161732699,14.513610804003214,0.7617837192313585,0.11910814038432077,0.04605651468201269,0.012456893920898438
Average,0.07421168789733201,0.03949269052827731,0.05685218921280466,0.05302892972678737,0.0292067430482539,13.681151040353104,0.8167907477374942,0.09160462613125289,0.14058566117290053,0.014554396271705627
