Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.08407069742679596,0.03598041832447052,0.06002555787563324,0.17704848324252534,0.03202930498409064,7.519077894493506,0.7693106189155466,0.11534469054222668,0.23916273146919934,0.024187564849853516
cup1,0.023963678628206253,0.006613607984036207,0.01528864330612123,0.03644774851150455,0.005316643199997183,14.38329294211031,0.9150033917411264,0.04249830412943678,0.2873757050648369,0.016527891159057617
cup2,0.011103594675660133,0.0030604498460888863,0.00708202226087451,0.04692396910694978,0.014421068713021437,13.286052598058403,0.9154399336973276,0.042280033151336216,0.21354015656712091,0.01638197898864746
dinosaur,0.11868606507778168,0.031110314652323723,0.0748981898650527,0.10051443199364617,0.023530247785922193,9.977715771965565,0.9094418593355367,0.04527907033223166,0.22836859292914952,0.04561042785644531
panther,0.06745296716690063,0.03376433625817299,0.05060865171253681,0.10338267827862166,0.026354936851582002,9.85552220992476,0.802690860110151,0.0986545699449245,0.2542624528886786,0.022674083709716797
squirrel,0.12443405389785767,0.08145155757665634,0.102942805737257,0.015090384693747474,0.04369713893901076,18.212996887703213,0.7908987654495071,0.10455061727524645,0.040716324417165516,0.02328324317932129
sun,0.033439405262470245,0.011164499446749687,0.022301952354609966,0.0819202464061919,0.02748901903836585,10.866087500610117,0.7914703441344157,0.10426482793279213,0.36324118020165785,0.0453801155090332
teabag2,0.038190893828868866,0.04026409238576889,0.03922749310731888,0.01789770211429995,0.04552927702094303,17.472027245028336,0.8565799922255629,0.07171000388721854,0.09302325581395349,0.009526968002319336
deer,0.06808146834373474,0.04985600709915161,0.058968737721443176,0.00706740389967929,0.026395276822522917,21.50740088197162,0.8666951185250241,0.06665244073748794,0.07293517293517293,0.019640445709228516
frog1,0.13802358508110046,0.1030389741063118,0.12053127959370613,0.041260424732456544,0.040612323467548075,13.844663057372554,0.7645289216391343,0.11773553918043284,0.04598742603550296,0.019634723663330078
frog2,0.19936196506023407,0.04866680130362511,0.12401438318192959,0.04803780307336383,0.03767434208338923,13.184168625291704,0.8499972355022828,0.0750013822488586,0.13392791059137,0.013025760650634766
paper1,0.02986374869942665,0.013494889251887798,0.021679318975657225,0.054024720029992465,0.007120934979211731,12.67407475064701,0.7483634353632012,0.12581828231839942,0.10994243381270602,0.03926706314086914
paper2,0.030165687203407288,0.010785977356135845,0.020475832279771566,0.051954112048809405,0.006750057531588338,12.843800733342762,0.7701767578443964,0.11491162107780178,0.12761233135863434,0.031106233596801758
raccoon,0.09951744973659515,0.05587034672498703,0.07769389823079109,0.17871574541370822,0.01930254702989986,7.478371831124368,0.7281083104088487,0.13594584479557564,0.12249648335454484,0.023237228393554688
teabag1,0.030616305768489838,0.02129506506025791,0.025955685414373875,0.01452605716574767,0.019092381602110867,18.378522510516774,0.9244587540109716,0.037770622994514225,0.12979583785383175,0.010021686553955078
turtle,0.14709177613258362,0.09765692800283432,0.12237435206770897,0.03518739576200407,0.04888210828560757,14.536128743425108,0.7558604569582879,0.12206977152085607,0.05904161133244799,0.019944190979003906
Average,0.07775395887438208,0.04025464158621617,0.05900430023029912,0.06312495665457801,0.02651235052092573,13.501244011474132,0.8224390472413325,0.08878047637933373,0.1575893504141233,0.02371560037136078
