Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.050640322268009186,0.03146062791347504,0.04105047509074211,0.09114852988663646,0.011065131665790104,10.402503315868472,0.7593285730172481,0.12033571349137595,0.34090306149519817,0.022536039352416992
cup1,0.03035963512957096,0.020468242466449738,0.02541393879801035,0.025516130913549602,0.009349359280986694,15.931851783162806,0.9059272552069841,0.04703637239650793,0.39553410478571843,0.01401066780090332
cup2,0.03304976969957352,0.024207856506109238,0.028628813102841377,0.05490619898694972,0.03530935368604015,12.603786203250602,0.8856940168712961,0.05715299156435194,0.36322122354305597,0.011505842208862305
dinosaur,0.09989408403635025,0.15661025047302246,0.12825216725468636,0.1019617702750071,0.08239006962454748,9.915626328536842,0.861440521554259,0.0692797392228705,0.3212551469544228,0.040513038635253906
panther,0.0436374694108963,0.020983846858143806,0.032310658134520054,0.038948832465206966,0.009402062429800117,14.095055562588808,0.837818368115627,0.08109081594218648,0.3919498784487119,0.020995616912841797
squirrel,0.12357400357723236,0.0842791199684143,0.10392656177282333,0.0264307925737936,0.08930653531151869,15.778898135892836,0.7506174120854273,0.12469129395728634,0.2349523881690283,0.021765947341918945
sun,0.03237663581967354,0.030306030064821243,0.03134133294224739,0.09221856904513244,0.04785815776246505,10.35181621008656,0.7707603881926114,0.1146198059036943,0.4289604339362656,0.04683184623718262
teabag2,0.09254325926303864,0.07365840673446655,0.0831008329987526,0.03209556857448442,0.10607604355198025,14.93554926364687,0.7979228153816658,0.10103859230916712,0.34430305689629953,0.00792074203491211
deer,0.09686950594186783,0.07996869832277298,0.0884191021323204,0.017171934939268923,0.06947233847016981,17.65180765636928,0.8308612787264709,0.08456936063676457,0.3467964467964468,0.017538070678710938
frog1,0.09202592074871063,0.06697144359350204,0.07949868217110634,0.056240072758240105,0.04970092106386451,12.499541261375613,0.7431090931484142,0.1284454534257929,0.210207100591716,0.016506195068359375
frog2,0.09721343964338303,0.04664731025695801,0.07193037495017052,0.02682065282599595,0.027517304895842913,15.715306554450025,0.8515059332525484,0.07424703337372579,0.3844275035156539,0.011097192764282227
paper1,0.014036395587027073,0.007497393526136875,0.010766894556581974,0.012644319042711624,0.0017731710532143863,18.98104554532784,0.8025047924983277,0.09874760375083613,0.422748664505919,0.03927016258239746
paper2,0.016535386443138123,0.008677243255078793,0.012606314849108458,0.014271004086416765,0.0024561825034302475,18.455454695027875,0.8145984085659748,0.09270079571701262,0.4070840475704097,0.031823158264160156
raccoon,0.048138316720724106,0.025975631549954414,0.03705697413533926,0.046060393872140636,0.004552367035421415,13.366723526122158,0.7942768642374882,0.10286156788125589,0.34576997789537145,0.019185543060302734
teabag1,0.10795397311449051,0.15700672566890717,0.13248034939169884,0.055518727513088895,0.0640559237891201,12.555604964504802,0.7803976956924109,0.10980115215379455,0.33484564552717233,0.007012605667114258
turtle,0.09293358027935028,0.04938918352127075,0.07116138190031052,0.024643367628300456,0.022357120183883868,16.082999441353756,0.7700243964905462,0.11498780175472689,0.3288697063597462,0.0179290771484375
Average,0.06698635610518977,0.05525675066746771,0.06112155338632874,0.04478730408668273,0.03954012764425474,14.332723152972822,0.8097992383148311,0.09510038084258436,0.350114274186946,0.02165260910987854
