Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.06264366954565048,0.040170565247535706,0.051407117396593094,0.14539883650515611,0.024883517198875948,8.374390687274083,0.7278894584029092,0.1360552707985454,0.8224120549689605,0.5724825859069824
cup1,0.011056906543672085,0.006256758235394955,0.00865683238953352,0.01445311140510027,0.002533643882016662,18.40038649751161,0.9432408291000388,0.028379585449980593,0.8716636622666745,0.2993752956390381
cup2,0.034696370363235474,0.056600168347358704,0.04564826935529709,0.04439753267621833,0.03967859187554785,13.526411644546961,0.8357100204144678,0.08214498979276608,0.7900599207499759,0.3172330856323242
dinosaur,0.053277913480997086,0.12058095633983612,0.0869294349104166,0.04788855082760434,0.051603229086411774,13.1976830509766,0.9093596861476249,0.04532015692618757,0.7765440863268493,0.6295680999755859
panther,0.034279145300388336,0.022781509906053543,0.02853032760322094,0.053679967411804315,0.008910155604866325,12.701877564917814,0.864067157504842,0.06796642124757901,0.8260756065327699,0.4739694595336914
squirrel,0.08723628520965576,0.08421143144369125,0.08572385832667351,0.014628397945553937,0.0512831082638106,18.348032337860435,0.7610874596196493,0.11945627019017535,0.2830441261902958,0.580420970916748
sun,0.027563629671931267,0.029963413253426552,0.02876352146267891,0.07141826665142137,0.03620908131652424,11.461906945080928,0.8271807160847774,0.0864096419576113,0.8382854705715098,1.301255226135254
teabag2,0.0819966271519661,0.11798170208930969,0.0999891646206379,0.029456440251562407,0.10191695306193115,15.308197378910048,0.7498945667767988,0.1250527166116006,0.47959631417288284,0.24956035614013672
deer,0.07333990186452866,0.09175935387611389,0.08254962787032127,0.017439739476012805,0.0718382658354623,17.584600070740446,0.821765157070109,0.0891174214649455,0.8184086184086184,0.39733028411865234
frog1,0.04656664654612541,0.055576689541339874,0.05107166804373264,0.04469848524000778,0.048799923134548166,13.49707194162307,0.7574654199627844,0.12126729001860781,0.48204511834319524,0.4095418453216553
frog2,0.10883646458387375,0.047709252685308456,0.0782728586345911,0.03671994085705449,0.031312708537412706,14.350980269663172,0.8527488864609054,0.0736255567695473,0.7618236992080527,0.22544217109680176
paper1,0.022214489057660103,0.011251123622059822,0.016732806339859962,0.04566884847963508,0.006331627619584442,13.403799388034464,0.8538585818095322,0.07307070909523389,0.7815318272599738,1.0595204830169678
paper2,0.023904087021946907,0.007062389049679041,0.015483238035812974,0.08225269826518597,0.020075691399372812,10.84849846296409,0.8287116994800957,0.08564415025995215,0.705242870211651,0.8045179843902588
raccoon,0.04417679086327553,0.020821847021579742,0.032499318942427635,0.06919253249967994,0.003854963435910443,11.599407735949669,0.8483166473125368,0.07584167634373162,0.7395672851497086,0.4710826873779297
teabag1,0.027108343318104744,0.016687331721186638,0.02189783751964569,0.006629092199379682,0.00996015480880651,21.785459406440516,0.9457664850678943,0.027116757466052854,0.5659335240161751,0.22999167442321777
turtle,0.05453050136566162,0.03686855733394623,0.045699529349803925,0.011942422035746377,0.014800501097059004,19.22907585259652,0.7685305262401008,0.11573473687994962,0.6546775859524864,0.4144423007965088
Average,0.04958923574304208,0.047892690607113764,0.04874096317507792,0.0459915539204452,0.032749507259883806,14.601111202193152,0.8309745810909417,0.08451270945452917,0.6998069856456113,0.5272334069013596
