Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.058911457657814026,0.02854868583381176,0.04373007174581289,0.16035043549483546,0.030757647969149503,7.949298562360266,0.752726138248438,0.12363693087578098,0.8166551705841778,0.5724141597747803
cup1,0.006865210365504026,0.004211475607007742,0.005538342986255884,0.0036683216673801143,0.001545883802041583,24.35532588966279,0.962804658081791,0.018597670959104473,0.8801535151479909,0.29488110542297363
cup2,0.02958747185766697,0.04753519594669342,0.038561333902180195,0.03314297209456647,0.03501364767607148,14.796085488317825,0.8752269507391849,0.06238652463040756,0.7860974195418962,0.31786608695983887
dinosaur,0.03514606133103371,0.0639706552028656,0.049558358266949654,0.03242665777301355,0.029359375777714622,14.890978119048494,0.934561701202158,0.03271914939892101,0.834388754791992,0.6285011768341064
panther,0.025881648063659668,0.022399215027689934,0.0241404315456748,0.0333180056453544,0.008736344266669931,14.773210025575585,0.882053596821603,0.0589732015891985,0.8332055277283777,0.47220516204833984
squirrel,0.07302584499120712,0.09763780981302261,0.08533182740211487,0.025078368881592872,0.08818481579011328,16.007007138046404,0.7474552269114866,0.1262723865442567,0.467543128488798,0.5787267684936523
sun,0.02338259294629097,0.034487534314394,0.028935063630342484,0.07026122649927104,0.04119757830648728,11.53284273314043,0.8199150964822922,0.09004245175885389,0.8518405109249579,1.2921788692474365
teabag2,0.13101471960544586,0.14749032258987427,0.13925252109766006,0.0402813312367512,0.12684166843310554,13.948961851089464,0.710900363938368,0.144549818030816,0.6290478279947346,0.24953269958496094
deer,0.06527753919363022,0.08569373935461044,0.07548563927412033,0.01709985285584355,0.06957776196279013,17.67007626693819,0.8218458698851737,0.08907706505741314,0.8117936117936118,0.3975338935852051
frog1,0.10106298327445984,0.07884401082992554,0.08995349705219269,0.022033096315931294,0.02748154537422019,16.56924467060201,0.7863866848966848,0.10680665755165758,0.4762758875739645,0.4181358814239502
frog2,0.106460340321064,0.04732491448521614,0.07689262740314007,0.03553651840716364,0.03160472849070168,14.493251232561946,0.8559744869011202,0.0720127565494399,0.7610835615424469,0.22946619987487793
paper1,0.016571953892707825,0.00946899875998497,0.013020476326346397,0.033299345372446894,0.00381966418786747,14.77564304149191,0.8757541622759833,0.062122918862008325,0.823597299295799,1.0549848079681396
paper2,0.015833547338843346,0.008712530136108398,0.012273038737475872,0.0384895774735511,0.004554258582291727,14.146568564271657,0.8748037233105507,0.06259813834472466,0.7935891856365074,0.8138706684112549
raccoon,0.030880505219101906,0.015729444101452827,0.023304974660277367,0.049041192038251226,0.002655568252030702,13.094389820185384,0.8707846145474124,0.0646076927262938,0.766009109786322,0.46990966796875
teabag1,0.06948921829462051,0.14641974866390228,0.1079544834792614,0.014543448304503766,0.040788716187689845,18.373326084657645,0.8425550708403173,0.07872246457984133,0.6791925567938981,0.23474454879760742
turtle,0.0569680891931057,0.037257611751556396,0.04711285047233105,0.012215657654686045,0.015362461610493263,19.13083146937564,0.7704732056168709,0.11476339719156453,0.6553600413162166,0.4210057258605957
Average,0.05289744897163473,0.05473324327613227,0.0538153461238835,0.03879912548219641,0.03484260416683989,15.406690059832851,0.8365138469187148,0.08174307654064264,0.7416145693088557,0.5278723388910294
