Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.07974984496831894,0.03305649384856224,0.05640316940844059,0.17013982300316363,0.0365130265157419,7.691940233283975,0.7701563841020503,0.11492180794897483,0.5328566880670664,0.20387697219848633
cup1,0.026067757979035378,0.00590823870152235,0.015987998340278864,0.059955213391143805,0.0179709795915076,12.221730469510588,0.8915855774332386,0.054207211283380685,0.4299877885677734,0.14985084533691406
cup2,0.012910367920994759,0.0021028732880949974,0.007506620604544878,0.07594868700619745,0.03170526256950233,11.194797297787089,0.8869663947344651,0.05651680263276743,0.3626413453174833,0.14862942695617676
dinosaur,0.11662431061267853,0.03270796686410904,0.07466613873839378,0.09842438303102372,0.028682996345551433,10.068972988853243,0.9059752805759013,0.04701235971204937,0.4014908419707511,0.3932194709777832
panther,0.06748681515455246,0.032973501831293106,0.05023015849292278,0.11036233335134848,0.03497791752408592,9.571791259628563,0.794137154272727,0.10293142286363649,0.30647240214713417,0.19996285438537598
squirrel,0.1214626207947731,0.07954142242670059,0.10050202161073685,0.012023023920564332,0.0376632284592379,19.199862888349518,0.7886941777208033,0.10565291113959835,0.059356924553560154,0.20821547508239746
sun,0.034235630184412,0.010640284977853298,0.02243795758113265,0.07427058869966754,0.023213258109477865,11.291831336715328,0.7986239408592514,0.10068802957037432,0.42595306314385073,0.3870697021484375
teabag2,0.033909786492586136,0.038270968943834305,0.03609037771821022,0.01259805797327501,0.03396164996069182,18.996963974613404,0.8665567964195368,0.06672160179023162,0.14172882843352347,0.08500933647155762
deer,0.06675991415977478,0.04910832270979881,0.0579341184347868,0.006707534112319269,0.028628390652316434,21.734371099710657,0.8674120744621573,0.06629396276892136,0.11394821394821394,0.1594696044921875
frog1,0.1340177059173584,0.09911753237247467,0.11656761914491653,0.03000452165772929,0.031303371903459,15.228132925127678,0.7716851131131008,0.11415744344344958,0.10828402366863905,0.16807937622070312
frog2,0.1995454728603363,0.048663411289453506,0.1241044420748949,0.04952868987537932,0.04925555179142227,13.051431597506065,0.8451584011890929,0.07742079940545354,0.1857375471837762,0.11484408378601074
paper1,0.030075129121541977,0.013478150591254234,0.021776639856398106,0.0693920195050379,0.011806091311546323,11.586904731217437,0.7432824032474598,0.12835879837627012,0.14115118553174433,0.33341002464294434
paper2,0.029889702796936035,0.010471601039171219,0.020180651918053627,0.06776288700639926,0.014123333821711439,11.69008099368037,0.7636345482707885,0.11818272586460576,0.1647911467168779,0.25705862045288086
raccoon,0.09995272010564804,0.05424544960260391,0.07709908485412598,0.1881615787383197,0.023827190400447534,7.254690517133079,0.7243300264492923,0.13783498677535383,0.19924308393060486,0.18523073196411133
teabag1,0.029426539316773415,0.019843434914946556,0.024634987115859985,0.0075824287440385925,0.011931808185235641,21.20191662285515,0.9398858644964547,0.030057067751772637,0.2266166946115659,0.08416485786437988
turtle,0.14569561183452606,0.09558014571666718,0.12063787877559662,0.0248762774963514,0.04823405218103281,16.042146072507805,0.7561991840487978,0.12190040797560109,0.10688726575180758,0.16573572158813477
Average,0.0767381206387654,0.03910686244489625,0.05792249154183082,0.06610862796949743,0.028987381832685514,13.626722813029998,0.8196427075871948,0.09017864620640256,0.2441966902215233,0.2027391940355301
