Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.08105109632015228,0.03471175208687782,0.05788142420351505,0.1767714399174935,0.04418218279413667,7.5258790045510695,0.7633361581794712,0.1183319209102644,0.5443306627049398,0.2507328987121582
cup1,0.02716747112572193,0.006170706357806921,0.016669088741764426,0.0636398671234445,0.022043465833203102,11.962707358075912,0.8872922053492504,0.056353897325374824,0.4317322788858522,0.1777651309967041
cup2,0.013543079607188702,0.002181206364184618,0.00786214298568666,0.07898984462774536,0.037195471320000666,11.024287404264431,0.8828137233346608,0.0585931383326696,0.36834348120228083,0.18671607971191406
dinosaur,0.11880563944578171,0.03131793811917305,0.07506178878247738,0.10050274319359648,0.028780706325207652,9.978220841381912,0.907285051981981,0.046357474009009525,0.41977850347863127,0.4695253372192383
panther,0.06849546730518341,0.034210577607154846,0.05135302245616913,0.11451431331425087,0.03944044375652624,9.411402268184592,0.7911083363550054,0.10444583182249728,0.3007945701652771,0.23421192169189453
squirrel,0.12338729947805405,0.08125387132167816,0.1023205853998661,0.01196655125439849,0.03852213899327656,19.22030994705654,0.7936138444445655,0.10319307777771725,0.06504003435124145,0.24539542198181152
sun,0.0357523187994957,0.010918637737631798,0.023335478268563747,0.07569865730292152,0.02429702494135627,11.209118236849152,0.7993437766629065,0.10032811166854677,0.42448765337591043,0.46065831184387207
teabag2,0.03499768301844597,0.038951326161623,0.036974504590034485,0.012830570048541027,0.03358984346433012,18.917540479558518,0.8698967502809662,0.06505162485951688,0.1406464823753108,0.10457968711853027
deer,0.0672028511762619,0.05014020949602127,0.058671530336141586,0.006701877026584058,0.030713871155765685,21.738035453407868,0.8679119150643634,0.06604404246781831,0.11986391986391987,0.19184374809265137
frog1,0.13662615418434143,0.10140764713287354,0.11901690065860748,0.03036016204653407,0.03239512471757697,15.176959147354589,0.7743361898236263,0.11283190508818686,0.11462647928994082,0.2087998390197754
frog2,0.20287197828292847,0.050275593996047974,0.12657378613948822,0.050362681911960624,0.05269594963999241,12.978911509122177,0.8445869042544322,0.07770654787278392,0.18773591888091185,0.142655611038208
paper1,0.031227292492985725,0.014060313813388348,0.022643803153187037,0.07574801381968584,0.013850034066274974,11.206287502640642,0.7409756463877958,0.1295121768061021,0.14374961127274485,0.4077165126800537
paper2,0.030661555007100105,0.0108956852927804,0.020778620149940252,0.07398922212088443,0.01689915381294353,11.308315385707798,0.7607030564094146,0.1196484717952927,0.16662077785968682,0.31209540367126465
raccoon,0.10267332941293716,0.057189684361219406,0.07993150688707829,0.19893101108266628,0.027155505460220043,7.01297510026516,0.7212026062201149,0.13939869688994255,0.20471900328220244,0.22376155853271484
teabag1,0.029381578788161278,0.019794166088104248,0.024587872438132763,0.007363719935796081,0.01219099439663675,21.329027373667316,0.940629268872432,0.029685365563783983,0.2263536837952461,0.10259699821472168
turtle,0.14671722054481506,0.09736749529838562,0.12204235792160034,0.02530371497228678,0.05206055209860788,15.968157130722663,0.7553011111452974,0.1223494444273513,0.11179356647484137,0.19977998733520508
Average,0.07816012593684718,0.04005292570218444,0.05910652581951581,0.06897964935617437,0.031625778923503475,13.498008383925646,0.8187710340478928,0.09061448297605364,0.24816353920368361,0.24492715299129486
