Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.08470785617828369,0.0264572910964489,0.055582573637366295,0.1281766131960657,0.013163883704914493,8.921912079406878,0.7630914546970085,0.11845427265149577,0.3344829415822147,0.013134241104125977
cup1,0.024821195751428604,0.00682407571002841,0.015822635730728507,0.0271201378011063,0.005100825875902228,15.667081080900767,0.9172055318613874,0.04139723406930629,0.37148921323486656,0.008002042770385742
cup2,0.0165850929915905,0.004451105836778879,0.01051809941418469,0.05221721899501365,0.022831517993119232,12.8218626172183,0.8981292938896933,0.05093535305515334,0.27896974968589927,0.009540081024169922
dinosaur,0.11182455718517303,0.0496218167245388,0.08072318695485592,0.09168784192859931,0.036350209621920704,10.376882492088031,0.8907880727980694,0.05460596360096531,0.3194945335794406,0.025566577911376953
panther,0.06608365476131439,0.029134850949048996,0.047609252855181694,0.08376935630333164,0.018927909050803746,10.769148217306359,0.806207897496018,0.09689605125199102,0.3058687246088333,0.011024951934814453
squirrel,0.12006192654371262,0.08319810032844543,0.10163001343607903,0.023654570929650204,0.07211141761424629,16.260849252131877,0.7437322098571475,0.12813389507142625,0.050604935465130965,0.01092529296875
sun,0.03089875541627407,0.013554601930081844,0.022226678673177958,0.088778643070881,0.03314471568641188,10.516914971945484,0.7704480273396659,0.11477598633016706,0.39433739419522756,0.022150516510009766
teabag2,0.03450506180524826,0.04144523665308952,0.03797514922916889,0.02283828599212008,0.06389891828241553,16.41336492899763,0.8260300683497976,0.08698496582510118,0.13078835746672518,0.004753589630126953
deer,0.0695653110742569,0.05039778724312782,0.05998154915869236,0.012495468794296919,0.043193815264127765,19.032474457434454,0.8451924459764361,0.07740377701178197,0.0891891891891892,0.008905410766601562
frog1,0.12799477577209473,0.09756527841091156,0.11278002709150314,0.05004755505443325,0.046154798699553905,13.006171340149159,0.7463564271448331,0.12682178642758346,0.07450073964497042,0.00979757308959961
frog2,0.18655462563037872,0.043369900435209274,0.114962263032794,0.04487282913430492,0.03336161041090362,13.48016548280974,0.848555211791091,0.07572239410445453,0.17023166308933463,0.0063169002532958984
paper1,0.025277573615312576,0.011128935031592846,0.01820325432345271,0.03065739002366053,0.003623147228720206,15.134648209940442,0.7499178045703551,0.12504109771482247,0.12029467253616027,0.02109217643737793
paper2,0.028268953785300255,0.009069917723536491,0.018669435754418373,0.03843963577239744,0.004162198022911744,14.152207360603954,0.7739994872721365,0.11300025636393174,0.1419829293638035,0.015558719635009766
raccoon,0.09165091812610626,0.04381860792636871,0.06773476302623749,0.11791471330181609,0.010708877570631195,9.284320006122128,0.7419549797615846,0.12902251011920768,0.15227074820818542,0.010576009750366211
teabag1,0.0316113643348217,0.022752072662115097,0.0271817184984684,0.013809370148811725,0.016476882586924563,18.598261293238707,0.9251706030602489,0.03741469846987555,0.2181017194332117,0.004547595977783203
turtle,0.1435425579547882,0.09097834676504135,0.11726045235991478,0.02665352226798823,0.037582573082237024,15.742453907472985,0.7605664370455912,0.11971678147720438,0.08547292312232552,0.009788990020751953
Average,0.07462213630788028,0.03898549533914775,0.056803815823514014,0.05332082204465481,0.028799581293484013,13.761169856110431,0.8129591220569414,0.09352043897152924,0.20238002715034492,0.011980041861534119
