Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.08180291950702667,0.03341902419924736,0.057610971853137016,0.16121822998189367,0.026717120344812006,7.92585851284641,0.7773186116172904,0.11134069419135478,0.47890911020321536,0.02149486541748047
cup1,0.025153618305921555,0.005364297889173031,0.015258958097547293,0.04446186647516645,0.007993840641661245,13.520123099039878,0.9073593924090549,0.04632030379547253,0.43074373437227426,0.014408588409423828
cup2,0.012265510857105255,0.0021756377536803484,0.007220574305392802,0.06315471073665677,0.020943608942545242,11.99594249690859,0.9001080020285489,0.04994599898572555,0.3555378370542186,0.014809608459472656
dinosaur,0.11884331703186035,0.031047847121953964,0.07494558207690716,0.0967293337023463,0.024058647756970572,10.144418037534917,0.9086249966438549,0.04568750167807256,0.4143546784040892,0.040790557861328125
panther,0.06823248416185379,0.03418078273534775,0.05120663344860077,0.10887878401039712,0.03192011504926294,9.630567381034318,0.7956557590797948,0.1021721204601026,0.3110570883163923,0.019289731979370117
squirrel,0.12459743767976761,0.08436722308397293,0.10448233038187027,0.017175261519249165,0.05433726355895279,17.650966414298598,0.7631515168973451,0.11842424155132747,0.059129600161652904,0.024343013763427734
sun,0.035370487719774246,0.011633439920842648,0.023501963820308447,0.08429185623639848,0.02902885215577224,10.742143822250815,0.7859918946149907,0.10700405269250463,0.4298462413333042,0.05998492240905762
teabag2,0.03719346597790718,0.04042908921837807,0.038811277598142624,0.018110408339389535,0.04677349434830701,17.420717574416376,0.8534235315966345,0.07328823420168273,0.147403832090098,0.009212255477905273
deer,0.06837223470211029,0.051035452634096146,0.05970384366810322,0.008694976535552708,0.03396543114560693,20.607315856559474,0.8563885205002292,0.07180573974988541,0.10962010962010962,0.01634502410888672
frog1,0.13831816613674164,0.10433411598205566,0.12132614105939865,0.04032487135667067,0.04226443499503051,13.944270094114666,0.7548912299774276,0.12255438501128618,0.09778106508875739,0.017512083053588867
frog2,0.20203948020935059,0.04996787756681442,0.1260036788880825,0.04939992019668002,0.0466028467183568,13.062737526587316,0.84650117170166,0.07674941414917003,0.18906816667900228,0.011855840682983398
paper1,0.03040958009660244,0.01354127749800682,0.02197542879730463,0.051730395755659866,0.007466300755091895,12.862541990731945,0.7466438437092562,0.1266780781453719,0.13321078346682516,0.03537321090698242
paper2,0.030838996171951294,0.010726452805101871,0.020782724488526583,0.05176711053447878,0.008015045581532383,12.85946075194934,0.7681273184602122,0.1159363407698939,0.15701077350765158,0.029173612594604492
raccoon,0.10168226063251495,0.05662330240011215,0.07915278151631355,0.1819849632008172,0.021291715029263514,7.399644948099554,0.7255886311820068,0.1372056844089966,0.1939346238863956,0.019238948822021484
teabag1,0.02960893325507641,0.020077643916010857,0.024843288585543633,0.009121516182228482,0.012769439804619436,20.399329670611877,0.9367841486692712,0.03160792566536441,0.22701121083604564,0.009838581085205078
turtle,0.14683419466018677,0.09765538573265076,0.12224479019641876,0.027671112605423216,0.04656448353000037,15.57973378311833,0.7565410844311625,0.12172945778441874,0.10430500221336875,0.01718616485595703
Average,0.07822269294410944,0.0404111781535903,0.05931693554884987,0.06341970733556303,0.028794540022361616,13.484110747506401,0.8176937283449212,0.09115313582753937,0.23993274107708756,0.022553563117980957
