Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.041447944939136505,0.02910645492374897,0.03527719993144274,0.09557769964840226,0.008666484441052188,10.196434262323361,0.807330987340203,0.09633450632989848,0.4301878283015865,0.07380151748657227
cup1,0.02960071712732315,0.020733973011374474,0.025167345069348812,0.027874967390183424,0.008561879067603816,15.54785632007341,0.9221315955598329,0.038934202220083536,0.40091294993312787,0.04225945472717285
cup2,0.04793604835867882,0.04395269975066185,0.045944374054670334,0.06484956152372065,0.04186203489342643,11.880929560251186,0.8573713755178185,0.07131431224109075,0.24473277278438194,0.04146313667297363
dinosaur,0.13526715338230133,0.21434906125068665,0.174808107316494,0.13823983310112878,0.08940433294066939,8.593667991946276,0.8454891551306815,0.07725542243465927,0.17928439585403946,0.11155343055725098
panther,0.03655765950679779,0.02215803973376751,0.02935784962028265,0.03175992452692381,0.00808735049163864,14.981205382845971,0.8505151983865561,0.07474240080672195,0.31479336281020054,0.059062957763671875
squirrel,0.14176540076732635,0.07937026023864746,0.11056783050298691,0.02877277831846253,0.0926043798823608,15.410182003230934,0.7468147136193874,0.12659264319030628,0.10642570281124498,0.06665468215942383
sun,0.0428168810904026,0.04420006275177002,0.04350847192108631,0.10280781422582073,0.051657123347244024,9.87973874191155,0.7785367246417663,0.11073163767911687,0.49043109293322545,0.1177511215209961
teabag2,0.09822655469179153,0.09646473824977875,0.09734564647078514,0.04400508535244808,0.12740703780368057,13.564971323117849,0.7668156460988164,0.11659217695059182,0.17706596460435864,0.024558305740356445
deer,0.1053258404135704,0.08475834131240845,0.09504209086298943,0.019126045084297036,0.07335653314079617,17.1837482483093,0.8357653111139596,0.08211734444302021,0.11954261954261955,0.0514216423034668
frog1,0.10792618244886398,0.07393544167280197,0.09093081206083298,0.06508492915588018,0.050958297612451575,11.865195635388844,0.7435998320776043,0.12820008396119786,0.10245931952662722,0.0512847900390625
frog2,0.059348300099372864,0.046024177223443985,0.052686238661408424,0.021614913257166614,0.028588119139400302,16.652465029945198,0.8665268714127815,0.06673656429360925,0.16434756864776848,0.03081488609313965
paper1,0.007924084551632404,0.004421830642968416,0.00617295759730041,0.006506779659781587,0.0009149557761098243,21.86633899607193,0.7963976820402696,0.10180115897986519,0.2188275294914411,0.11292338371276855
paper2,0.008571590296924114,0.0050695715472102165,0.006820580922067165,0.006418097859974099,0.001232076665154623,21.92593665283092,0.8292104005286824,0.08539479973565878,0.1945803838672718,0.0880880355834961
raccoon,0.034956540912389755,0.018449338153004646,0.0267029395326972,0.03495505352941423,0.003044789437557486,14.564900284652717,0.7889214239100752,0.10553928804496238,0.183033022975417,0.05460977554321289
teabag1,0.17395955324172974,0.20765624940395355,0.19080790132284164,0.10096599005593089,0.06107691510685359,9.958248917462672,0.6853437061902654,0.1573281469048673,0.22526876417792682,0.023088932037353516
turtle,0.07585306465625763,0.04056660830974579,0.05820983648300171,0.02332615159299146,0.018724594566911598,16.321569062894635,0.7963596794740642,0.10182016026296792,0.1601187841227682,0.048621416091918945
Average,0.07171771978028119,0.0644510530109983,0.06808438639563974,0.050742851517657894,0.04163418151955694,14.399586775828546,0.8073206439401728,0.09633967802991361,0.23200075389900032,0.06237234175205231
