Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.04676313325762749,0.0323379710316658,0.039550552144646645,0.09780306210661843,0.009408081064551103,10.096475477155785,0.7937422516214497,0.10312887418927513,0.5281079216851489,0.0752420425415039
cup1,0.029219843447208405,0.021069537848234177,0.02514469064772129,0.02705080112537797,0.008466391430470408,15.678198684805569,0.9237858031088417,0.038107098445579135,0.5970808862010816,0.045642852783203125
cup2,0.05160665884613991,0.05088583752512932,0.05124624818563461,0.06532232296159213,0.04270945187508848,11.849383794855408,0.8530499984296278,0.0734750007851861,0.38955735962114624,0.051262855529785156
dinosaur,0.1345028132200241,0.2381606251001358,0.18633171916007996,0.1342162791290998,0.08914799186597962,8.721948052760903,0.8502823391410036,0.0748588304294982,0.3685219366747125,0.1259617805480957
panther,0.03566966578364372,0.024784572422504425,0.030227119103074074,0.02994368175167949,0.00879100797724452,15.236948016505124,0.8484275076610367,0.07578624616948165,0.4469334812615229,0.06580758094787598
squirrel,0.12437757849693298,0.08175498992204666,0.10306628420948982,0.02849799909642501,0.09215839250350677,15.451856316366552,0.7484243661367846,0.12578781693160768,0.15622237377181683,0.07877564430236816
sun,0.045523568987846375,0.04606999084353447,0.04579677991569042,0.10372097203691957,0.051850336845929657,9.841334218265942,0.7727526141482304,0.11362369292588481,0.5886408871197043,0.14349150657653809
teabag2,0.11039791256189346,0.1066243052482605,0.10851110890507698,0.04444771655491261,0.1287433548984739,13.521505454490903,0.758495235230063,0.12075238238496849,0.28837209302325584,0.029555320739746094
deer,0.10364003479480743,0.0866820439696312,0.09516103938221931,0.019184160565996502,0.07349143177537482,17.170571993080685,0.834715687694244,0.08264215615287801,0.2334908334908335,0.060285329818725586
frog1,0.0991387739777565,0.07004711031913757,0.08459294214844704,0.05857534916443232,0.05082054330780553,12.32285113917781,0.7397442089672127,0.13012789551639364,0.16251849112426037,0.0613713264465332
frog2,0.0528300479054451,0.04765228554606438,0.05024116672575474,0.020294528261260502,0.028563863594840547,16.926210392426086,0.8698732325376763,0.06506338373116183,0.3117089778698838,0.03758859634399414
paper1,0.00717853894457221,0.004547954071313143,0.0058632465079426765,0.005670871806983529,0.0008993308529761921,22.463501700564336,0.8093501706420154,0.09532491467899229,0.3068492014678341,0.13725757598876953
paper2,0.008850476704537868,0.006098087877035141,0.007474282290786505,0.006477527869297113,0.0014368295308697168,21.885907098039805,0.8337895568666668,0.08310522156666661,0.30926095336216924,0.10534310340881348
raccoon,0.03239590302109718,0.019013432785868645,0.025704667903482914,0.03241319622515323,0.0030499869338438744,14.892781416149619,0.7977846053887298,0.10110769730563512,0.3240505057271083,0.0642085075378418
teabag1,0.18489979207515717,0.22613272070884705,0.2055162563920021,0.10111688737486438,0.06241540237194827,9.951763075024163,0.6775883614247188,0.1612058192876406,0.3087089456553901,0.027503013610839844
turtle,0.06606356799602509,0.038417331874370575,0.05224044993519783,0.021208392882463203,0.017416035269040932,16.734922399569047,0.7917801312673057,0.10410993436634713,0.21462298952338793,0.06058502197265625
Average,0.07081614437629469,0.06876742481836118,0.06979178459732793,0.04974648430706724,0.04183552700612152,14.546634951827357,0.8064741293916005,0.09676293530419977,0.3459154898487036,0.07311762869358063
