Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.05006517842411995,0.026172107085585594,0.03811864275485277,0.08960783505000795,0.010308358977975744,10.476540152238393,0.7643283981764991,0.11783580091175044,0.23478537698307422,0.04195046424865723
cup1,0.02988678403198719,0.019732898101210594,0.024809841066598892,0.0252312315670066,0.009202480266444176,15.980615505247878,0.90856354650205,0.04571822674897502,0.28978891667151246,0.019726991653442383
cup2,0.030571194365620613,0.02011263370513916,0.025341914035379887,0.053511038072629746,0.03406296733704232,12.715566239679612,0.8873820263878176,0.0563089868060912,0.24751135594858414,0.020132780075073242
dinosaur,0.10064316540956497,0.14804008603096008,0.12434162572026253,0.10010891521279994,0.07998784904946554,9.995272446453985,0.8554022004347938,0.07229889978260312,0.15828482180888825,0.06738042831420898
panther,0.044777557253837585,0.02026137337088585,0.03251946531236172,0.040050869010131995,0.009516343305054863,13.973880563035738,0.8190431073731655,0.09047844631341723,0.2488130394348273,0.03120136260986328
squirrel,0.13309931755065918,0.08013920485973358,0.10661926120519638,0.026560574180566607,0.08963795456327961,15.757625407213268,0.7471135607041136,0.1264432196479432,0.06032936778560784,0.03812861442565918
sun,0.03159202262759209,0.02851293608546257,0.03005247935652733,0.09057218305045821,0.04685820452632807,10.430051643833103,0.7676158989608549,0.11619205051957254,0.34322849456486076,0.07580280303955078
teabag2,0.08033726364374161,0.06671951711177826,0.07352839037775993,0.030352646617211498,0.09929473983927306,15.178034343700283,0.7956355604001221,0.10218221979993897,0.17273658037150796,0.01140141487121582
deer,0.09568455070257187,0.07501671463251114,0.0853506326675415,0.016851750115910273,0.0677548585305781,17.73354989379387,0.836291557883625,0.08185422105818752,0.09578529578529578,0.027507305145263672
frog1,0.09779837727546692,0.0717359185218811,0.08476714789867401,0.05602627816284902,0.04950820688453813,12.516082268457287,0.7440500398879462,0.12797498005602692,0.0746301775147929,0.02819037437438965
frog2,0.1023770347237587,0.04301093891263008,0.07269398681819439,0.027836340889483568,0.027152870613407532,15.553878536860346,0.8511299100111489,0.07443504499442555,0.1714158833543039,0.01576995849609375
paper1,0.014492134563624859,0.007711357437074184,0.011101746000349522,0.013043723643482254,0.0018505110572091814,18.84598411137325,0.7673233112100781,0.11633834439496094,0.16390123217901495,0.06601715087890625
paper2,0.016501566395163536,0.00821034237742424,0.012355954386293888,0.014438403401193256,0.002424997520027754,18.40480828399893,0.7914905477838595,0.10425472610807024,0.17048431935056976,0.048493146896362305
raccoon,0.050360433757305145,0.025895480066537857,0.0381279569119215,0.04796883307551578,0.004697392187966593,13.190408463668838,0.7741593917679681,0.11292030411601595,0.18050438743385358,0.030208826065063477
teabag1,0.09675122052431107,0.13386087119579315,0.11530604586005211,0.05158985495492858,0.061049110822589576,12.87435693145546,0.7988792031352389,0.10056039843238057,0.18525824374527403,0.01048588752746582
turtle,0.10365744680166245,0.05376225337386131,0.07870985008776188,0.02601946858471784,0.024983514284984472,15.847015776084614,0.7740677699303852,0.11296611503480741,0.1504537405931828,0.029124021530151367
Average,0.06741220300318673,0.0518059145542793,0.059609058778733015,0.044360621599305816,0.03864314748538529,14.34210441044343,0.8051547519093543,0.09742262404532293,0.18424445209532192,0.03509509563446045
