Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.0831994041800499,0.037066780030727386,0.06013309210538864,0.14739872030777446,0.02296103526803526,8.315062869361574,0.7286713194396878,0.13566434028015611,0.16594152915583382,0.04283404350280762
cup1,0.024729622527956963,0.012473523616790771,0.018601573072373867,0.026379164189815993,0.008014097082828,15.787389689678687,0.8971260232859111,0.051436988357044466,0.25614932837122756,0.02355360984802246
cup2,0.015365295112133026,0.009375209920108318,0.012370252516120672,0.0414435995988043,0.02462177014897704,13.825425308205954,0.8877652935081302,0.05611735324593492,0.230211655552334,0.024556398391723633
dinosaur,0.11370880156755447,0.06355307996273041,0.08863094076514244,0.10061697590914738,0.04134711460684919,9.973287397404086,0.8761736509485578,0.06191317452572109,0.11580292488996166,0.07744669914245605
panther,0.0639185756444931,0.03039996139705181,0.04715926852077246,0.08246256205030102,0.017676670228017454,10.83743176119395,0.7896369832817418,0.1051815083591291,0.23533634628248845,0.03871798515319824
squirrel,0.11864517629146576,0.07829342782497406,0.09846930205821991,0.018618102951803283,0.05572532104801736,17.300645725241633,0.7769099315534271,0.11154503422328643,0.03694021368492839,0.045632123947143555
sun,0.031183667480945587,0.015485323965549469,0.023334495723247528,0.08345854967322182,0.03564142260241729,10.785291666455123,0.7357575438921024,0.13212122805394882,0.3102020953172503,0.08917593955993652
teabag2,0.04123788699507713,0.04149680957198143,0.04136734828352928,0.021432018851927016,0.059347112593342674,16.689369173877033,0.8318287315964185,0.08408563420179077,0.12458680707912827,0.014080286026000977
deer,0.07140175998210907,0.05069297179579735,0.06104736588895321,0.009598457193672038,0.03174474507446416,20.177985675980104,0.8566570406771473,0.07167147966142634,0.07955017955017955,0.03307914733886719
frog1,0.13052856922149658,0.09210854023694992,0.11131855472922325,0.047437435353296045,0.04347954961905153,13.238787986071044,0.7598120425271274,0.12009397873643629,0.05534393491124261,0.033676862716674805
frog2,0.18376795947551727,0.04472827538847923,0.11424811743199825,0.044443157174304734,0.027413266967685687,13.521950970156922,0.8443428084529078,0.07782859577354612,0.15998075642069426,0.020018577575683594
paper1,0.026044316589832306,0.01186168659478426,0.018953001592308283,0.03685590255881875,0.0044238059914593186,14.334929489598283,0.7573008412345081,0.12134957938274593,0.1607845034311659,0.07856273651123047
paper2,0.02805531956255436,0.009985105134546757,0.019020212348550558,0.04224629185364505,0.004525442508782577,13.742114050142934,0.776811769630967,0.1115941151845165,0.17102610332975104,0.05676746368408203
raccoon,0.08810103684663773,0.04680623859167099,0.06745363771915436,0.128532434709186,0.011619258798695577,8.909872658130867,0.7307772378412208,0.13461138107938958,0.12733605733806685,0.03782844543457031
teabag1,0.05017642676830292,0.04535446688532829,0.047765446826815605,0.03320281196832774,0.04150159786739229,14.788251340485692,0.853663710683478,0.07316814465826099,0.13229444060887005,0.01406097412109375
turtle,0.14122141897678375,0.08605030924081802,0.11363586410880089,0.03781665150739634,0.04455279176343862,14.223169285909625,0.7465856881652804,0.12670715591735981,0.13401947764497565,0.03554248809814453
Average,0.07570532732643187,0.04223323188489303,0.05896927960566245,0.056371427240715116,0.029662187635590878,13.528185315493344,0.8031137885449133,0.09844310572754333,0.15596914709800616,0.041595861315727234
