Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.04916839674115181,0.024376481771469116,0.03677243925631046,0.08850271237423396,0.009886824202188551,10.53043419120122,0.7681147859360834,0.1159426070319583,0.19122406749084736,0.03570199012756348
cup1,0.029538573697209358,0.01940358430147171,0.024471078999340534,0.025019487808102432,0.009115425377362776,16.017215853057348,0.9107123144386957,0.04464384278065214,0.2591731115892307,0.021343469619750977
cup2,0.029831277206540108,0.01946265622973442,0.024646966718137264,0.052924329006143085,0.033742985957201536,12.763446394167552,0.8876362420579449,0.056181878971027555,0.1931477723011501,0.020534276962280273
dinosaur,0.10046152025461197,0.1454111635684967,0.12293634191155434,0.09943140851288514,0.07867115092770802,10.024764084677951,0.8534360858044707,0.07328195709776464,0.09676274314922619,0.06595826148986816
panther,0.044867705553770065,0.019925856962800026,0.032396781258285046,0.040081428910851515,0.00938307497851369,13.970568041808276,0.8153529707806503,0.09232351460967486,0.20218302850336917,0.03346753120422363
squirrel,0.13503402471542358,0.07951731234788895,0.10727566853165627,0.026519036173191193,0.08910724109997144,15.764422642895553,0.7457445262619884,0.1271277368690058,0.01829961354853376,0.03695225715637207
sun,0.03136158362030983,0.02804943360388279,0.02970550861209631,0.08981395396125413,0.04635965770595725,10.466561838495942,0.7685813874791736,0.1157093062604132,0.3187977078366615,0.0753183364868164
teabag2,0.07725446671247482,0.06572470813989639,0.07148958742618561,0.02989630147485648,0.09746545737467928,15.243825357027575,0.7935959571612159,0.10320202141939205,0.08737750475354687,0.011930465698242188
deer,0.09494709968566895,0.0734400525689125,0.08419357612729073,0.016700116224042005,0.06660965529906981,17.77280506380293,0.8383315861967259,0.08083420690163706,0.03577773577773578,0.030029296875
frog1,0.09872311353683472,0.07346538454294205,0.08609424903988838,0.055839696579430935,0.049336501548417115,12.530569502387072,0.744747055611861,0.12762647219406947,0.03058431952662722,0.028504371643066406
frog2,0.1028398871421814,0.04147190973162651,0.07215589843690395,0.027892872156252312,0.026485643419045846,15.545067637049678,0.8529275272370791,0.07353623638146045,0.09484864184738362,0.015927791595458984
paper1,0.014638838358223438,0.00781298615038395,0.011225912254303694,0.013123694490557815,0.0018668256794511934,18.819438882074508,0.753961131950933,0.12301943402453352,0.10728872241764165,0.06423044204711914
paper2,0.01655919849872589,0.00814648624509573,0.01235284237191081,0.014466418934184348,0.002397155598698479,18.39638962288115,0.780985974160967,0.10950701291951648,0.10913838583901023,0.04776573181152344
raccoon,0.05073435977101326,0.025782393291592598,0.03825837653130293,0.04818794474837146,0.004669147320112626,13.170615962859596,0.7657402244298858,0.11712988778505712,0.10580079040793088,0.030234336853027344
teabag1,0.09076119214296341,0.12567110359668732,0.10821614786982536,0.049432476788781765,0.058914668363359866,13.059876288927994,0.8103986495913502,0.09480067520432489,0.11493572673176185,0.012230396270751953
turtle,0.10536639392375946,0.054658208042383194,0.08001230098307133,0.02577341413786405,0.025067736080190445,15.888280477656254,0.7783441487837202,0.11082792560813992,0.057695145344547734,0.03130388259887695
Average,0.06700547697255388,0.050769982568454,0.05888772977050394,0.043975330767562666,0.03806744693324549,14.372767615060663,0.8042881604926716,0.09785591975366423,0.12643968856657528,0.03508955240249634
