Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.049476392567157745,0.024464866146445274,0.03697062935680151,0.08865655192761115,0.009899244950315833,10.522891634938423,0.7670244517840087,0.11648777410799566,0.195190215949488,0.032678842544555664
cup1,0.02964446321129799,0.019406650215387344,0.024525556713342667,0.02509972577373143,0.009116170354664237,16.00331023363815,0.9101715602904095,0.04491421985479527,0.26292376577309995,0.01896214485168457
cup2,0.0300537571310997,0.0194778461009264,0.02476580161601305,0.053184372866984395,0.03375247992189484,12.742159574533812,0.8874033524080877,0.05629832379595617,0.19718275828742632,0.018138408660888672
dinosaur,0.10040631145238876,0.1460130363702774,0.12320967391133308,0.09938022321587037,0.07880162117979533,10.02700032129509,0.853135887129853,0.0734320564350735,0.09778503478631265,0.055210113525390625
panther,0.0448642298579216,0.019929545000195503,0.03239688742905855,0.04001277270011094,0.009383346674377622,13.978013529790248,0.8153202939301616,0.0923398530349192,0.2025582875136643,0.030044078826904297
squirrel,0.13486069440841675,0.07947604358196259,0.10716836899518967,0.02650899083263084,0.08911260967636161,15.766068050530993,0.7458095876229772,0.1270952061885114,0.019196281983279027,0.030945777893066406
sun,0.0313623882830143,0.02806263603270054,0.029712512157857418,0.08980736465806194,0.046367175368335005,10.466880475285745,0.7683435155350853,0.11582824223245736,0.3183001246691892,0.06490516662597656
teabag2,0.07736296206712723,0.065797358751297,0.07158016040921211,0.029915287809551886,0.09752474759612989,15.241068145334859,0.7930889657144873,0.10345551714275636,0.08497879186777826,0.011481523513793945
deer,0.09495269507169724,0.07344688475131989,0.08419978991150856,0.016709133646389505,0.06661271896969041,17.770460673026843,0.8380569612466009,0.08097151937669955,0.03556983556983557,0.02393651008605957
frog1,0.09864740073680878,0.07346103340387344,0.08605421707034111,0.05583744387654863,0.049345055890540133,12.530744710388868,0.7444936594098449,0.12775317029507754,0.03076923076923077,0.024570226669311523
frog2,0.10277029126882553,0.041489794850349426,0.07213004305958748,0.027818921633877027,0.02648625383686196,15.556597089066484,0.8527481283301502,0.07362593583492488,0.09370142846569463,0.015403032302856445
paper1,0.01463599968701601,0.007812961004674435,0.011224480345845222,0.01311846843729052,0.0018668315389029763,18.821168652697736,0.7539488567258967,0.12302557163705163,0.10705375838787033,0.05440568923950195
paper2,0.016542557626962662,0.008146144449710846,0.012344351038336754,0.014447589763849354,0.002397032335130147,18.402045985522978,0.7809723066786053,0.10951384666069736,0.1091739126573172,0.04570460319519043
raccoon,0.05063984543085098,0.025791844353079796,0.03821584489196539,0.048015105156595385,0.004668728746517832,13.186221156624358,0.7652493707655083,0.11737531461724587,0.10575055261571438,0.028042316436767578
teabag1,0.09093163162469864,0.12643520534038544,0.10868341848254204,0.049474033749886986,0.059035533610835196,13.056226790051447,0.8099150847988863,0.09504245760055685,0.11391655981852254,0.01033926010131836
turtle,0.10527176409959793,0.05465042218565941,0.07996109314262867,0.025760755894967582,0.02506732474580155,15.89041397671041,0.7781497327257563,0.11092513363712186,0.05725247159510108,0.0255582332611084
Average,0.06702646153280511,0.050866392033640295,0.058946426783222705,0.04398417137149738,0.03808980471225966,14.372579437464779,0.80398948219352,0.09800525890324004,0.12695643816934526,0.030645370483398438
