Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.05126955360174179,0.03350507840514183,0.04238731600344181,0.09233059824673688,0.010983316809501662,10.346543504632606,0.7601380056848234,0.11993099715758831,0.4068949965511753,0.02412581443786621
cup1,0.03175856173038483,0.021622855216264725,0.026690708473324776,0.02623055669854753,0.00948518336824949,15.811924921568188,0.9059564418276795,0.04702177908616023,0.5095365470721638,0.013016700744628906
cup2,0.03520578518509865,0.0267369095236063,0.030971347354352474,0.05655784676982157,0.03642874501198061,12.475071330475334,0.8851660759430443,0.05741696202847785,0.4265004349086692,0.01353764533996582
dinosaur,0.1040363758802414,0.16864953935146332,0.13634295761585236,0.10433831963030668,0.08469631055846445,9.815561618743478,0.8631465982534722,0.06842670087326391,0.39578304699701833,0.03960418701171875
panther,0.042336102575063705,0.02122459001839161,0.03178034629672766,0.03658949819049697,0.00893990999215599,14.366435466378134,0.8476052726526365,0.07619736367368174,0.451942373268506,0.022543668746948242
squirrel,0.12370987981557846,0.08635556697845459,0.10503272339701653,0.026641084902700424,0.09069441668469588,15.744480934032977,0.7577549264673034,0.12112253676634832,0.3225606829835064,0.02460169792175293
sun,0.03351902961730957,0.032045841217041016,0.03278243541717529,0.09311352884547035,0.048471565974313784,10.309872140124739,0.7741890357511697,0.11290548212441515,0.5120786946917172,0.04894542694091797
teabag2,0.10414916276931763,0.08444766700267792,0.09429841488599777,0.03493265261056567,0.1148657360140769,14.567684349638101,0.7899763836866468,0.1050118081566766,0.4237531080883428,0.008049964904785156
deer,0.09902066737413406,0.08301631361246109,0.09101849049329758,0.017472202298862455,0.07086068668313843,17.576523505429485,0.8310662325642382,0.08446688371788091,0.4823851823851824,0.017011642456054688
frog1,0.08943114429712296,0.06423031538724899,0.07683072984218597,0.05476250733144185,0.05012573178281429,12.61516675671709,0.7504732780022018,0.12476336099889912,0.28298816568047336,0.01804804801940918
frog2,0.09447227418422699,0.04689592868089676,0.07068410143256187,0.02574006041735091,0.027767724191900184,15.893904380496851,0.8546858013720916,0.0726570993139542,0.4705795277921693,0.010039567947387695
paper1,0.013323480263352394,0.007229448761790991,0.010276464512571692,0.011665585136559884,0.0016140305609187624,19.3309347245482,0.8239801680357607,0.08800991598211966,0.5152139209276932,0.0411379337310791
paper2,0.016045503318309784,0.008353407494723797,0.01219945540651679,0.013070460435891856,0.0022066511588576844,18.837091131658244,0.8319908141531939,0.08400459292340307,0.4947464717428569,0.03107738494873047
raccoon,0.04578006640076637,0.0265414509922266,0.03616075869649649,0.04367124097682154,0.004402437848751541,13.59804466843757,0.8074909274184074,0.09625453629079628,0.42862884319110456,0.02109813690185547
teabag1,0.1161021813750267,0.18247433006763458,0.14928825572133064,0.05822599397027156,0.06541213936783458,12.348830889312028,0.7630013591653341,0.11849932041733297,0.41953512838215473,0.007510185241699219
turtle,0.08519967645406723,0.04715840518474579,0.06617904081940651,0.0232641730351453,0.02088862899456082,16.333123805971347,0.7705245019814297,0.11473774900928513,0.41755201416556,0.01871490478515625
Average,0.06783496530260891,0.05878047799342312,0.06330772164801601,0.044912894343561965,0.04049020093763844,14.373199633010273,0.8135716139349646,0.09321419303251771,0.43504244617676835,0.022441431879997253
