Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.050832293927669525,0.03893699869513512,0.04488464631140232,0.093209372367784,0.012265510455856287,10.305404163695941,0.7472830107940741,0.12635849460296295,0.2673104472860402,0.06016850471496582
cup1,0.03361722081899643,0.023360297083854675,0.028488758951425552,0.027236259696912977,0.009475791413416493,15.648525334891943,0.9065865186782551,0.04670674066087244,0.42161423504099554,0.042617082595825195
cup2,0.04085751995444298,0.02962455525994301,0.03524103760719299,0.059562797395229294,0.03649986696966814,12.250249135930932,0.8807718616244544,0.05961406918777279,0.33359911085338745,0.047399044036865234
dinosaur,0.11143974959850311,0.20100772380828857,0.15622373670339584,0.11045866823663567,0.08834182238792063,9.568001972246625,0.8551140180088699,0.07244299099556506,0.22125514695442283,0.12252426147460938
panther,0.03732099384069443,0.024652674794197083,0.030986834317445755,0.03224648499002199,0.010244923901704573,14.915176184747473,0.8386994694719458,0.08065026526402708,0.342219901780033,0.06067228317260742
squirrel,0.1364930272102356,0.08412328362464905,0.11030815541744232,0.02799206912654549,0.0928410970927736,15.529649980315735,0.7495092467022862,0.12524537664885688,0.04591952716526483,0.06314325332641602
sun,0.04132376238703728,0.040584009140729904,0.04095388576388359,0.0993054554047921,0.05071561327808884,10.03026892621251,0.7648235719151759,0.11758821404241204,0.4598652697884998,0.11985397338867188
teabag2,0.1317574679851532,0.09780002385377884,0.11477874591946602,0.03554152583141363,0.12097511129698699,14.492639314564704,0.7903243451771796,0.10483782741141018,0.18853298230217932,0.027907609939575195
deer,0.10678918659687042,0.0886111706495285,0.09770017862319946,0.01852440640282437,0.07442456917554574,17.32255699683761,0.8296501860004188,0.08517490699979058,0.11905121905121906,0.04410147666931152
frog1,0.09059324115514755,0.07066105306148529,0.08062714710831642,0.06176679712780834,0.05108628583377635,12.092449181018859,0.7456116921390844,0.1271941539304578,0.07233727810650888,0.04813647270202637
frog2,0.07409613579511642,0.05196543037891388,0.06303078308701515,0.02316504179103485,0.030666827626129867,16.351669119685116,0.85321409594401,0.073392952027995,0.258160017763304,0.03512859344482422
paper1,0.013061396777629852,0.00881223101168871,0.01093681389465928,0.011316321965022753,0.001974086999130331,19.462947047601524,0.791210296318791,0.10439485184060449,0.26218530369100845,0.09907913208007812
paper2,0.015280221588909626,0.01101370994001627,0.013146965764462948,0.01225354310624295,0.0029803255216717755,19.117383170950383,0.8095430429818243,0.09522847850908783,0.28448099759305806,0.07577729225158691
raccoon,0.04044511914253235,0.024014011025428772,0.03222956508398056,0.03910045635277815,0.004150996980188648,14.078181737975662,0.796539496474036,0.101730251762982,0.25355013731663206,0.05467820167541504
teabag1,0.12559375166893005,0.1903655230998993,0.15797963738441467,0.053304907328498456,0.06523186352281414,12.732328073414791,0.7760392615169319,0.11198036924153404,0.17858434428115857,0.028573989868164062
turtle,0.07895790785551071,0.044548776000738144,0.06175334192812443,0.02140374681107745,0.019916599156037884,16.695101950180174,0.7772653964988744,0.11136730175056281,0.17345433082484876,0.04687666893005371
Average,0.07052868726896122,0.0643800919642672,0.06745438961661421,0.045399240870913904,0.0419869557257319,14.412033268141874,0.8070115943903883,0.09649420280480588,0.24263251561241006,0.061039865016937256
