Object,Refl_LMSE,Shading_LMSE,Combined_LMSE,Refl_siMSE,Shading_siMSE,Refl_PSNR,Refl_SSIM,Refl_DSSIM,Refl_Sparsity,Time_s
box,0.04854287952184677,0.03645167499780655,0.04249727725982666,0.09205528425652955,0.011635176818073665,10.35951276605022,0.7554721399807303,0.12226393000963487,0.2640340637767284,0.06816720962524414
cup1,0.03209584206342697,0.021987877786159515,0.027041859924793243,0.02666824446408258,0.009202640722218991,15.740055724112006,0.909467941941539,0.04526602902923049,0.35637029714485086,0.050110578536987305
cup2,0.039677850902080536,0.028673434630036354,0.034175642766058445,0.05926380948282111,0.0361686950606909,12.272104354716733,0.8818593829461884,0.05907030852690581,0.3205518507780033,0.048187255859375
dinosaur,0.11061670631170273,0.20074141025543213,0.15567905828356743,0.1102602012858512,0.08804783450766719,9.575812190283926,0.8528168966656553,0.07359155166717235,0.18673860570779496,0.13330554962158203
panther,0.036448001861572266,0.024726685136556625,0.030587343499064445,0.03148889660658274,0.010231388638064724,15.018425570855298,0.8317252436593412,0.0841373781703294,0.3168654451713955,0.08318233489990234
squirrel,0.13564729690551758,0.08357349783182144,0.10961039736866951,0.028247898482688615,0.0929820586887645,15.490138562098764,0.7443042646375311,0.12784786768123446,0.02247985653305044,0.07717776298522949
sun,0.041154105216264725,0.040480200201272964,0.040817152708768845,0.0995002830516885,0.050717263273782835,10.021756838008919,0.7659294455524751,0.11703527722376245,0.4360742328470506,0.1362900733947754
teabag2,0.1313018649816513,0.0964842140674591,0.1138930395245552,0.035672391205481206,0.12173333630430014,14.476677778907273,0.7915208380357547,0.10423958098212266,0.15378089805470235,0.03261113166809082
deer,0.10670983046293259,0.08748311549425125,0.09709647297859192,0.018535999737171613,0.07440565992812087,17.319839853760932,0.8318379975698951,0.08408100121505246,0.0601020601020601,0.05727982521057129
frog1,0.08920755237340927,0.07267620414495468,0.08094187825918198,0.06159927548741448,0.051227393517127406,12.104243958496713,0.74264421428924,0.12867789285538,0.04506286982248521,0.0565953254699707
frog2,0.07313451915979385,0.05090361461043358,0.062019066885113716,0.023077335658358237,0.030503585349003822,16.368143331101557,0.8555240188521488,0.0722379905739256,0.18322107912071645,0.04116177558898926
paper1,0.013110393658280373,0.008848068304359913,0.010979230981320143,0.011328651907646611,0.001978167665178309,19.45821767444966,0.7722492473077135,0.11387537634614325,0.16104019958121116,0.12106537818908691
paper2,0.015038743615150452,0.01079544983804226,0.012917096726596355,0.012044341667240277,0.00292710739300946,19.192169331582456,0.7979609259397753,0.10101953703011235,0.19890577399614534,0.09178495407104492
raccoon,0.039932359009981155,0.023388320580124855,0.031660339795053005,0.03874212777720795,0.004081807585936061,14.118165308413875,0.7884083181290955,0.10579584093545225,0.21335990354343895,0.06818437576293945
teabag1,0.11973506212234497,0.18779295682907104,0.153764009475708,0.051660150631482805,0.06366157625798279,12.868443318381486,0.7888072627716627,0.10559636861416866,0.1522175099450965,0.032143354415893555
turtle,0.07977668195962906,0.04462253674864769,0.062199609354138374,0.02156638114065728,0.020036654326703603,16.66222723812531,0.7836060099654378,0.10819699501728108,0.10795706064630367,0.05600857734680176
Average,0.06950810563284904,0.06372682884102687,0.06661746723693796,0.045106954552681544,0.04184627162728908,14.440370862459071,0.8058833842652615,0.09705830786736927,0.1986726066731896,0.07207846641540527
